time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	6.13245e-06	3785.5699999999997	0.903037	387.3770000000001
1	6.13245e-06	1.36223e-05	3785.5699999999997	0.903037	387.3770000000001
2	1.36223e-05	2.277e-05	2594.051	0.902389	387.3770000000001
3	2.277e-05	3.39426e-05	2790.533	0.902375	406.7786000000001
4	3.39426e-05	4.75882e-05	3476.1329999999994	0.902371	581.393
5	4.75882e-05	6.42543e-05	3452.8720000000008	10.6095	492.0566000000002
6	6.42543e-05	8.46094e-05	2901.7039999999997	7.05279	392.8878000000001
7	8.46094e-05	0.00010947	2328.552	4.73257	331.54940000000005
8	0.00010947	0.000139834	1879.67	6.6158	323.863
9	0.000139834	0.000176918	1662.9250000000002	14.789	314.18299999999994
10	0.000176918	0.000222211	1562.2750000000003	37.8106	323.965
11	0.000222211	0.00027753	1577.9680000000003	91.9854	379.6942000000001
12	0.00027753	0.000345093	1694.7800000000004	196.025	475.46419999999995
13	0.000345093	0.000427612	1927.972	362.266	638.6872
14	0.000427612	0.000528396	2165.996	589.842	881.9984
15	0.000528396	0.000651488	2395.6279999999997	865.503	1155.35
16	0.000651488	0.000801827	2580.892	1168.2	1461.908
17	0.000801827	0.000985443	2694.7260000000006	1465.66	1801.2080000000003
18	0.000985443	0.0012097	2727.794000000001	1707.46	2085.1360000000004
19	0.0012097	0.0014836	2694.7400000000007	1844.57	2270.495
20	0.0014836	0.00181813	2620.5280000000002	1866.82	2310.295
21	0.00181813	0.0022267	2517.9600000000005	1799.01	2251.2690000000002
22	0.0022267	0.00272571	2456.4440000000004	1675.43	2118.7610000000004
23	0.00272571	0.00333518	2451.836	1528.2	1974.1859999999995
24	0.00333518	0.00407955	2460.72	1387.13	1890.8899999999999
25	0.00407955	0.00498869	2682.3	1281.76	1883.712
26	0.00498869	0.00609906	2682.3	1234.35	1917.1580000000004
27	0.00609906	0.00745521	2682.3	1263.4	1950.1500000000005
28	0.00745521	0.00911155	2682.3	1263.4	2068.3199999999997
29	0.00911155	0.0111345	2682.3	1465.73	2186.4899999999993
30	0.0111345	0.0136053	2682.3	1465.73	2186.4899999999993
31	0.0136053	inf	2682.3	1465.73	2186.49
