time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	6.06728e-06	2950.2399999999993	0.913121	312.63100000000003
1	6.06728e-06	1.34776e-05	2950.2399999999993	0.913121	312.63100000000003
2	1.34776e-05	2.25281e-05	2880.1519999999996	0.912085	312.63100000000003
3	2.25281e-05	3.35819e-05	3522.5340000000006	0.912061	312.63100000000003
4	3.35819e-05	4.70826e-05	3799.91	0.912062	259.008
5	4.70826e-05	6.35715e-05	3510.876999999999	0.912062	286.3415
6	6.35715e-05	8.37103e-05	2932.4430000000007	1.36584	318.9014
7	8.37103e-05	0.000108307	2362.8340000000003	4.17286	339.8070000000001
8	0.000108307	0.000138348	1990.3659999999998	9.03941	312.571
9	0.000138348	0.000175038	1804.3249999999994	18.831	293.72589999999997
10	0.000175038	0.00021985	1737.4120000000003	42.8924	300.2472
11	0.00021985	0.000274581	1771.358	101.553	340.76980000000003
12	0.000274581	0.000341426	1909.4680000000005	214.014	431.28729999999996
13	0.000341426	0.000423068	2085.016	385.907	564.4753999999999
14	0.000423068	0.000522781	2287.816	611.424	788.1652
15	0.000522781	0.000644566	2492.4759999999997	878.303	1074.1285
16	0.000644566	0.000793307	2683.492	1168.88	1370.606
17	0.000793307	0.000974972	2767.8040000000005	1456.18	1702.6759999999995
18	0.000974972	0.00119685	2772.1180000000004	1697.31	1973.6549999999997
19	0.00119685	0.00146784	2714.4259999999995	1844.02	2195.0579999999995
20	0.00146784	0.00179881	2604.488	1877.21	2273.52
21	0.00179881	0.00220304	2480.74	1814.23	2214.76
22	0.00220304	0.00269675	2323.0059999999994	1686.17	2056.075
23	0.00269675	0.00329974	2177.9260000000004	1528.83	1856.6119999999996
24	0.00329974	0.0040362	2185.552	1380.43	1624.4110000000003
25	0.0040362	0.00493568	2254.6700000000005	1271.12	1563.6099999999997
26	0.00493568	0.00603425	2254.6700000000005	1217.26	1604.5470000000005
27	0.00603425	0.007376	2254.6700000000005	1225.63	1725.5849999999998
28	0.007376	0.00901474	2254.6700000000005	1225.63	1845.2350000000001
29	0.00901474	0.0110162	2254.6700000000005	1370.1	2097.48
30	0.0110162	0.0134607	2254.6700000000005	1370.1	2097.48
31	0.0134607	inf	2254.67	1370.1	2097.48
