time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	6.18184e-06	2950.2399999999993	55.7564	1360.5400000000002
1	6.18184e-06	1.3732e-05	2950.2399999999993	55.7564	1360.5400000000002
2	1.3732e-05	2.29534e-05	2880.1519999999996	0.895159	1360.5400000000002
3	2.29534e-05	3.4216e-05	3522.5340000000006	0.89516	1264.3269999999998
4	3.4216e-05	4.79715e-05	3813.9599999999996	0.895159	1039.8299999999997
5	4.79715e-05	6.47718e-05	3510.876999999999	0.895159	875.1595999999997
6	6.47718e-05	8.52908e-05	2877.565000000001	3.15814	790.4686
7	8.52908e-05	0.000110352	2327.2960000000003	10.0853	721.1174000000002
8	0.000110352	0.00014096	1990.3659999999998	14.9993	631.0166
9	0.00014096	0.000178343	1793.5659999999993	21.8974	545.2067000000001
10	0.000178343	0.000224001	1737.4120000000003	44.6339	504.71229999999997
11	0.000224001	0.000279765	1786.3680000000002	101.063	513.9169999999999
12	0.000279765	0.000347873	1923.2570000000005	206.939	577.5176
13	0.000347873	0.000431056	2101.3250000000003	367.806	694.1205
14	0.000431056	0.000532651	2305.307	580.287	862.4547999999999
15	0.000532651	0.000656735	2523.2470000000003	836.658	1079.0012
16	0.000656735	0.000808285	2692.4930000000004	1125.42	1359.0349999999999
17	0.000808285	0.00099338	2770.8800000000006	1424.16	1683.728
18	0.00099338	0.00121945	2769.7610000000004	1686.46	1946.4279999999999
19	0.00121945	0.00149555	2700.497999999999	1852.9	2120.5119999999997
20	0.00149555	0.00183277	2595.027	1898.18	2183.084
21	0.00183277	0.00224463	2468.7250000000004	1839.95	2137.8469999999998
22	0.00224463	0.00274766	2308.7319999999995	1711.07	2004.3439999999996
23	0.00274766	0.00336204	2166.9280000000003	1549.81	1834.0749999999994
24	0.00336204	0.00411241	2195.4260000000004	1397.0	1664.5409999999997
25	0.00411241	0.00502887	2254.6700000000005	1280.93	1528.248
26	0.00502887	0.00614818	2254.6700000000005	1203.58	1468.784
27	0.00614818	0.00751526	2254.6700000000005	1140.22	1473.8300000000002
28	0.00751526	0.00918494	2254.6700000000005	1140.22	297.53668000000005
29	0.00918494	0.0112242	2254.6700000000005	1090.54	3.4633499999999993
30	0.0112242	0.0137148	2254.6700000000005	1090.54	3.4633499999999993
31	0.0137148	inf	2254.67	1090.54	3.46335
