time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	6.09124e-06	2019.2499999999998	0.908575	456.406
1	6.09124e-06	1.35308e-05	2019.2499999999998	0.908575	456.406
2	1.35308e-05	2.2617e-05	2883.4980000000005	0.908498	456.406
3	2.2617e-05	3.37145e-05	4039.2000000000003	0.908475	456.406
4	3.37145e-05	4.72685e-05	4588.039	0.908473	347.21999999999997
5	4.72685e-05	6.38225e-05	4080.238000000001	0.908473	322.4358
6	6.38225e-05	8.40408e-05	3106.576	0.908473	331.61310000000003
7	8.40408e-05	0.000108734	2335.888	1.95082	384.28010000000006
8	0.000108734	0.000138894	1907.3460000000002	5.52332	318.581
9	0.000138894	0.000175729	1685.2680000000005	14.9638	297.94129999999996
10	0.000175729	0.000220718	1634.7490000000003	39.0557	311.1901
11	0.000220718	0.000275665	1704.0410000000004	94.3833	356.6921
12	0.000275665	0.000342774	1869.7669999999998	200.595	436.3379
13	0.000342774	0.000424739	2078.0049999999997	369.751	587.9445999999999
14	0.000424739	0.000524845	2307.3340000000003	599.92	790.6329999999999
15	0.000524845	0.000647111	2543.1100000000006	877.357	1077.6870000000001
16	0.000647111	0.000796439	2732.1300000000006	1180.46	1385.3650000000002
17	0.000796439	0.000978822	2844.4600000000005	1476.54	1737.2579999999998
18	0.000978822	0.00120157	2895.491	1716.76	2025.5960000000002
19	0.00120157	0.00147363	2883.2700000000004	1854.44	2262.696
20	0.00147363	0.00180591	2784.9610000000002	1878.54	2315.9000000000005
21	0.00180591	0.00221174	2598.2700000000004	1810.83	2249.2160000000003
22	0.00221174	0.0027074	2364.588	1684.48	2108.867
23	0.0027074	0.00331277	2287.9169999999995	1534.08	1877.5529999999999
24	0.00331277	0.00405214	2743.3219999999997	1392.67	1611.5000000000002
25	0.00405214	0.00495517	3429.35	1282.81	1358.7259999999999
26	0.00495517	0.00605808	3429.35	1203.38	1170.266
27	0.00605808	0.00740512	3429.35	1115.25	1041.5749999999998
28	0.00740512	0.00905033	3429.35	1115.25	1014.0924000000001
29	0.00905033	0.0110597	3429.35	958.247	989.4960000000002
30	0.0110597	0.0135139	3429.35	958.247	989.4960000000002
31	0.0135139	inf	3429.35	958.247	989.496
