time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.83844e-05	333.77
1	1.83844e-05	3.98895e-05	333.77
2	3.98895e-05	6.50451e-05	619.93
3	6.50451e-05	9.44708e-05	465.953
4	9.44708e-05	0.000128892	455.294
5	0.000128892	0.000169155	511.378
6	0.000169155	0.000216254	494.544
7	0.000216254	0.000271347	443.457
8	0.000271347	0.000335793	426.896
9	0.000335793	0.000411178	457.324
10	0.000411178	0.00049936	528.73
11	0.00049936	0.00060251	634.724
12	0.00060251	0.000723171	772.98
13	0.000723171	0.000864313	942.971
14	0.000864313	0.00102941	1137.87
15	0.00102941	0.00122254	1336.75
16	0.00122254	0.00144845	1502.5
17	0.00144845	0.00171271	1593.17
18	0.00171271	0.00202183	1581.77
19	0.00202183	0.00238342	1467.51
20	0.00238342	0.00280639	1281.41
21	0.00280639	0.00330116	1073.98
22	0.00330116	0.00387991	885.672
23	0.00387991	0.00455691	735.156
24	0.00455691	0.00534883	629.327
25	0.00534883	0.00627518	573.409
26	0.00627518	0.00735878	565.479
27	0.00735878	0.00862631	626.643
28	0.00862631	0.010109	626.643
29	0.010109	0.0118434	1062.81
30	0.0118434	0.0138722	1062.81
31	0.0138722	inf	1062.81
