time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.94258e-05	341.445
1	1.94258e-05	4.2149e-05	341.445
2	4.2149e-05	6.87296e-05	343.043
3	6.87296e-05	9.98222e-05	342.015
4	9.98222e-05	0.000136193	412.816
5	0.000136193	0.000178737	425.878
6	0.000178737	0.000228504	422.205
7	0.000228504	0.000286718	419.326
8	0.000286718	0.000354814	426.006
9	0.000354814	0.000434469	454.423
10	0.000434469	0.000527646	515.718
11	0.000527646	0.00063664	613.802
12	0.00063664	0.000764135	746.99
13	0.000764135	0.000913273	909.929
14	0.000913273	0.00108773	1093.92
15	0.00108773	0.00129179	1280.17
16	0.00129179	0.0015305	1433.66
17	0.0015305	0.00180973	1510.59
18	0.00180973	0.00213636	1480.68
19	0.00213636	0.00251843	1348.06
20	0.00251843	0.00296536	1147.65
21	0.00296536	0.00348815	927.844
22	0.00348815	0.00409969	737.034
23	0.00409969	0.00481504	606.541
24	0.00481504	0.00565182	539.618
25	0.00565182	0.00663064	521.966
26	0.00663064	0.00777562	533.274
27	0.00777562	0.00911496	586.733
28	0.00911496	0.0106816	586.733
29	0.0106816	0.0125143	808.529
30	0.0125143	0.014658	808.529
31	0.014658	inf	808.529
