time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	6.04994e-06	3144.4999999999995	1.60532	312.63100000000003
1	6.04994e-06	1.3439e-05	3144.4999999999995	1.60532	312.63100000000003
2	1.3439e-05	2.24637e-05	2634.06	1.60215	312.63100000000003
3	2.24637e-05	3.34859e-05	3424.954	0.91468	312.63100000000003
4	3.34859e-05	4.69479e-05	3913.731999999999	0.914684	259.008
5	4.69479e-05	6.33898e-05	3738.8499999999985	1.10594	286.3415
6	6.33898e-05	8.3471e-05	3188.6370000000006	3.53055	318.9014
7	8.3471e-05	0.000107997	2573.0190000000002	5.8192	339.8070000000001
8	0.000107997	0.000137952	2119.2900000000004	9.77233	312.571
9	0.000137952	0.000174538	1816.4940000000001	17.7546	293.72589999999997
10	0.000174538	0.000219221	1696.7360000000003	39.6273	300.2472
11	0.000219221	0.000273796	1704.6310000000003	95.4044	340.76980000000003
12	0.000273796	0.00034045	1833.527	204.659	422.2955999999999
13	0.00034045	0.000421858	2027.95	376.608	564.4753999999999
14	0.000421858	0.000521286	2236.068	606.993	788.1652
15	0.000521286	0.000642722	2458.976	881.213	1074.1285
16	0.000642722	0.000791038	2668.694	1178.07	1370.606
17	0.000791038	0.000972184	2789.114	1467.75	1702.6759999999995
18	0.000972184	0.00119343	2860.264	1706.85	1973.6549999999997
19	0.00119343	0.00146364	2871.4329999999995	1850.82	2195.0579999999995
20	0.00146364	0.00179367	2834.096	1885.26	2273.52
21	0.00179367	0.00219674	2770.8899999999994	1827.97	2214.76
22	0.00219674	0.00268904	2715.258	1706.76	2071.88
23	0.00268904	0.0032903	2788.196999999999	1554.23	1856.6119999999996
24	0.0032903	0.00402466	3158.060999999999	1407.18	1633.2340000000002
25	0.00402466	0.00492156	3999.2299999999996	1299.79	1563.4179999999997
26	0.00492156	0.006017	3999.2299999999996	1256.4	1598.8360000000002
27	0.006017	0.00735491	3999.2299999999996	1300.39	1714.04
28	0.00735491	0.00898896	3999.2299999999996	1300.39	1845.2350000000001
29	0.00898896	0.0109847	3999.2299999999996	1593.95	2097.48
30	0.0109847	0.0134222	3999.2299999999996	1593.95	2097.48
31	0.0134222	inf	3999.23	1593.95	2097.48
