time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	6.10843e-06	3785.5699999999997	0.907746	937.6549999999999
1	6.10843e-06	1.3569e-05	3785.5699999999997	0.907746	937.6549999999999
2	1.3569e-05	2.26809e-05	2594.051	0.905953	937.6549999999999
3	2.26809e-05	3.38097e-05	2790.533	1.09705	1063.8305
4	3.38097e-05	4.74018e-05	3476.1329999999994	13.0657	1358.2400000000005
5	4.74018e-05	6.40026e-05	3452.8720000000008	10.4326	1183.856
6	6.40026e-05	8.4278e-05	2901.7039999999997	11.3166	1004.9466000000001
7	8.4278e-05	0.000109041	2328.552	17.7301	799.9290000000001
8	0.000109041	0.000139286	1879.67	27.5984	615.6345000000001
9	0.000139286	0.000176225	1662.9250000000002	42.7228	518.7375
10	0.000176225	0.000221341	1562.2750000000003	74.0041	491.96209999999996
11	0.000221341	0.000276443	1577.9680000000003	132.733	513.6946
12	0.000276443	0.000343742	1694.7800000000004	232.858	583.412
13	0.000343742	0.000425937	1927.972	386.047	705.2879999999998
14	0.000425937	0.000526326	2165.996	593.218	883.2177
15	0.000526326	0.000648937	2395.6279999999997	845.019	1116.6745999999998
16	0.000648937	0.000798686	2566.8179999999998	1125.86	1425.4129999999998
17	0.000798686	0.000981583	2691.2130000000006	1411.98	1781.3890000000001
18	0.000981583	0.00120496	2727.794000000001	1664.0	2064.8300000000004
19	0.00120496	0.00147779	2694.7400000000007	1832.34	2234.586
20	0.00147779	0.00181101	2620.5280000000002	1886.28	2298.2819999999997
21	0.00181101	0.00221798	2517.9600000000005	1832.2	2214.77
22	0.00221798	0.00271504	2456.4440000000004	1705.12	2046.8660000000004
23	0.00271504	0.00332212	2451.836	1549.43	1838.7619999999997
24	0.00332212	0.00406357	2460.72	1404.83	1622.9779999999998
25	0.00406357	0.00496915	2682.3	1302.56	1397.1700000000003
26	0.00496915	0.00607517	2682.3	1249.86	1257.598
27	0.00607517	0.00742602	2682.3	1217.34	1207.18
28	0.00742602	0.00907587	2682.3	1217.34	1289.2999999999997
29	0.00907587	0.0110909	2682.3	1200.63	1309.8299999999997
30	0.0110909	0.013552	2682.3	1200.63	1309.8299999999997
31	0.013552	inf	2682.3	1200.63	1309.83
