time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	6.15376e-06	2364.51	0.899653	326.32999999999987
1	6.15376e-06	1.36697e-05	2364.51	0.899653	326.32999999999987
2	1.36697e-05	2.28492e-05	2979.635	0.899249	326.32999999999987
3	2.28492e-05	3.40606e-05	3281.941999999999	0.899248	423.9357999999999
4	3.40606e-05	4.77537e-05	3408.860999999999	0.899243	814.3589999999999
5	4.77537e-05	6.44776e-05	3198.7110000000007	1.20853	704.2084000000001
6	6.44776e-05	8.49035e-05	2615.556	9.41892	641.2874
7	8.49035e-05	0.000109851	2092.0260000000003	5.18978	590.3849
8	0.000109851	0.00014032	1757.9960000000003	5.19318	512.0756
9	0.00014032	0.000177533	1643.8380000000002	12.5647	452.0535
10	0.000177533	0.000222984	1632.0699999999997	35.7219	437.6281
11	0.000222984	0.000278495	1704.8689999999997	90.8878	473.2398
12	0.000278495	0.000346293	1833.81	197.823	545.3058
13	0.000346293	0.000429098	2068.18	367.279	688.2362
14	0.000429098	0.000530233	2307.4439999999995	594.96	874.6015
15	0.000530233	0.000653753	2543.268	865.628	1115.1732000000002
16	0.000653753	0.000804614	2733.8839999999996	1159.53	1401.7959999999998
17	0.000804614	0.000988869	2842.902	1450.5	1762.089
18	0.000988869	0.00121391	2811.382	1694.62	2049.182
19	0.00121391	0.00148876	2664.1179999999995	1839.07	2221.254
20	0.00148876	0.00182445	2418.382	1864.78	2264.0219999999995
21	0.00182445	0.00223444	2056.3399999999997	1795.7	2194.2460000000005
22	0.00223444	0.00273519	1737.176	1670.8	2017.2080000000003
23	0.00273519	0.00334677	1435.6530000000002	1528.15	1843.0519999999997
24	0.00334677	0.00409373	1452.528	1400.61	1694.6839999999995
25	0.00409373	0.00500603	2176.56	1306.36	1586.6000000000004
26	0.00500603	0.00612026	2176.56	1250.08	1513.7020000000002
27	0.00612026	0.00748113	2176.56	1233.9	1494.6700000000003
28	0.00748113	0.00914323	2176.56	1233.9	1545.7719999999997
29	0.00914323	0.0111732	2176.56	1360.85	1579.8399999999995
30	0.0111732	0.0136526	2176.56	1360.85	1579.8399999999995
31	0.0136526	inf	2176.56	1360.85	1579.84
