time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	5.95267e-06	381.32200000000006	0.93378	937.6549999999999
1	5.95267e-06	1.3223e-05	381.32200000000006	0.93378	937.6549999999999
2	1.3223e-05	2.21025e-05	381.32200000000006	1.68127	937.6549999999999
3	2.21025e-05	3.29476e-05	1004.4399999999998	37.6463	1021.7719999999999
4	3.29476e-05	4.61932e-05	1111.344	9.30252	1358.2400000000005
5	4.61932e-05	6.23707e-05	1214.4899999999998	3.8642	1203.232
6	6.23707e-05	8.2129e-05	1206.165	4.80944	1031.5355
7	8.2129e-05	0.000106261	1062.0085	9.40788	824.5945000000002
8	0.000106261	0.000135734	910.6490000000001	15.7674	627.7350000000001
9	0.000135734	0.000171732	858.206	29.7455	522.802
10	0.000171732	0.000215697	911.1278	65.7603	491.4033999999999
11	0.000215697	0.000269394	1045.5067000000001	139.313	509.23920000000004
12	0.000269394	0.000334977	1233.1419999999998	262.983	566.2180000000001
13	0.000334977	0.000415076	1500.7329999999997	439.395	678.9909999999999
14	0.000415076	0.000512906	1775.266	660.072	865.3126000000001
15	0.000512906	0.00063239	2050.87	911.573	1094.2068999999997
16	0.00063239	0.000778321	2281.7	1178.61	1371.2659999999996
17	0.000778321	0.000956555	2481.748	1440.41	1729.183
18	0.000956555	0.00117424	2604.486	1663.82	2024.5420000000004
19	0.00117424	0.00144011	2601.5419999999995	1808.21	2223.08
20	0.00144011	0.00176483	2508.458	1850.43	2296.073
21	0.00176483	0.00216142	2327.882	1798.16	2233.727
22	0.00216142	0.00264581	2028.8380000000002	1678.69	2063.4320000000002
23	0.00264581	0.00323741	1793.0659999999996	1526.43	1856.8799999999997
24	0.00323741	0.00395996	1669.6520000000003	1377.87	1640.8919999999998
25	0.00395996	0.00484244	1686.9400000000003	1265.92	1426.7640000000001
26	0.00484244	0.00592027	1766.9220000000003	1200.59	1266.0010000000002
27	0.00592027	0.00723666	1930.7500000000002	1156.94	1207.18
28	0.00723666	0.00884445	1930.7500000000002	1156.94	1279.0349999999999
29	0.00884445	0.0108081	1930.7500000000002	1130.89	1309.8299999999997
30	0.0108081	0.0132064	1930.7500000000002	1130.89	1309.8299999999997
31	0.0132064	inf	1930.75	1130.89	1309.83
