time_index	left_time_boundary	right_time_boundary	lambda
0	0	9.81351e-06	1510.85
1	9.81351e-06	2.12929e-05	1510.85
2	2.12929e-05	3.47208e-05	5638.86
3	3.47208e-05	5.04282e-05	4947.56
4	5.04282e-05	6.88019e-05	3710.54
5	6.88019e-05	9.02945e-05	2738.17
6	9.02945e-05	0.000115436	2062.59
7	0.000115436	0.000144844	1597.37
8	0.000144844	0.000179245	1292.82
9	0.000179245	0.000219485	1112.34
10	0.000219485	0.000266557	1025.74
11	0.000266557	0.000321618	1010.18
12	0.000321618	0.000386026	1047.52
13	0.000386026	0.000461368	1120.77
14	0.000461368	0.000549498	1212.93
15	0.000549498	0.000652589	1306.79
16	0.000652589	0.000773179	1387.59
17	0.000773179	0.00091424	1446.9
18	0.00091424	0.00107925	1479.14
19	0.00107925	0.00127226	1477.34
20	0.00127226	0.00149804	1437.77
21	0.00149804	0.00176215	1361.33
22	0.00176215	0.00207108	1252.25
23	0.00207108	0.00243246	1120.87
24	0.00243246	0.00285519	988.611
25	0.00285519	0.00334967	889.596
26	0.00334967	0.00392809	864.324
27	0.00392809	0.0046047	1522.71
28	0.0046047	0.00539616	1522.71
29	0.00539616	0.00632197	20.3852
30	0.00632197	0.00740494	20.3852
31	0.00740494	inf	20.3852
