time_index	left_time_boundary	right_time_boundary	lambda
0	0	9.957e-06	2328.79
1	9.957e-06	2.16042e-05	2328.79
2	2.16042e-05	3.52285e-05	6158.51
3	3.52285e-05	5.11655e-05	4673.51
4	5.11655e-05	6.98079e-05	3458.91
5	6.98079e-05	9.16148e-05	2539.89
6	9.16148e-05	0.000117123	1861.12
7	0.000117123	0.000146962	1420.48
8	0.000146962	0.000181866	1162.82
9	0.000181866	0.000222695	1027.77
10	0.000222695	0.000270454	978.487
11	0.000270454	0.00032632	992.495
12	0.00032632	0.00039167	1051.47
13	0.00039167	0.000468113	1138.79
14	0.000468113	0.000557533	1239.05
15	0.000557533	0.000662131	1336.59
16	0.000662131	0.000784484	1415.79
17	0.000784484	0.000927607	1464.93
18	0.000927607	0.00109503	1480.62
19	0.00109503	0.00129086	1465.32
20	0.00129086	0.00151994	1419.41
21	0.00151994	0.00178791	1339.6
22	0.00178791	0.00210137	1225.85
23	0.00210137	0.00246803	1085.65
24	0.00246803	0.00289694	929.985
25	0.00289694	0.00339865	774.696
26	0.00339865	0.00398552	638.256
27	0.00398552	0.00467202	501.02
28	0.00467202	0.00547506	501.02
29	0.00547506	0.0064144	173.617
30	0.0064144	0.0075132	173.617
31	0.0075132	inf	173.617
