time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	6.07208e-06	2759.91	0.91217	312.63100000000003
1	6.07208e-06	1.34882e-05	2759.91	0.91217	312.63100000000003
2	1.34882e-05	2.25459e-05	2277.4699999999993	0.911345	312.63100000000003
3	2.25459e-05	3.36085e-05	2981.151	0.911351	312.63100000000003
4	3.36085e-05	4.71198e-05	3744.6639999999993	0.911341	259.008
5	4.71198e-05	6.36218e-05	3569.7379999999994	0.911341	286.3415
6	6.36218e-05	8.37765e-05	2856.2319999999995	2.76302	318.9014
7	8.37765e-05	0.000108392	2198.0939999999996	5.03372	339.8070000000001
8	0.000108392	0.000138457	1759.03	9.24804	312.571
9	0.000138457	0.000175176	1557.808	18.2553	293.72589999999997
10	0.000175176	0.000220024	1507.5100000000002	40.6219	300.2472
11	0.000220024	0.000274798	1567.222	96.2055	340.76980000000003
12	0.000274798	0.000341696	1715.8659999999998	205.881	431.28729999999996
13	0.000341696	0.000423402	1924.7660000000003	379.862	564.4753999999999
14	0.000423402	0.000523194	2181.732	612.823	788.1652
15	0.000523194	0.000645075	2424.2	887.76	1074.1285
16	0.000645075	0.000793934	2644.3519999999994	1182.13	1370.606
17	0.000793934	0.000975742	2806.857	1465.43	1702.6759999999995
18	0.000975742	0.00119779	2847.5260000000003	1693.57	1973.6549999999997
19	0.00119779	0.001469	2773.2349999999997	1824.08	2195.0579999999995
20	0.001469	0.00180023	2622.0630000000006	1847.77	2273.52
21	0.00180023	0.00220478	2407.268	1788.19	2214.76
22	0.00220478	0.00269888	2235.7080000000005	1678.24	2056.075
23	0.00269888	0.00330235	2132.358	1546.29	1856.6119999999996
24	0.00330235	0.00403939	2105.11	1415.07	1624.4110000000003
25	0.00403939	0.00493958	2125.86	1304.71	1563.6099999999997
26	0.00493958	0.00603902	2125.86	1236.44	1604.5470000000005
27	0.00603902	0.00738183	2125.86	1227.17	1725.5849999999998
28	0.00738183	0.00902186	2125.86	1227.17	1845.2350000000001
29	0.00902186	0.0110249	2125.86	1361.38	2097.48
30	0.0110249	0.0134713	2125.86	1361.38	2097.48
31	0.0134713	inf	2125.86	1361.38	2097.48
