time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.93309e-05	374.202
1	1.93309e-05	4.19433e-05	374.202
2	4.19433e-05	6.83941e-05	596.584
3	6.83941e-05	9.93349e-05	529.108
4	9.93349e-05	0.000135528	452.522
5	0.000135528	0.000177865	405.196
6	0.000177865	0.000227388	383.129
7	0.000227388	0.000285318	383.132
8	0.000285318	0.000353082	410.021
9	0.000353082	0.000432348	456.176
10	0.000432348	0.00052507	523.32
11	0.00052507	0.000633532	615.958
12	0.000633532	0.000760405	736.585
13	0.000760405	0.000908814	886.564
14	0.000908814	0.00108242	1063.45
15	0.00108242	0.00128549	1252.21
16	0.00128549	0.00152303	1417.9
17	0.00152303	0.0018009	1516.12
18	0.0018009	0.00212593	1517.13
19	0.00212593	0.00250613	1417.58
20	0.00250613	0.00295088	1238.21
21	0.00295088	0.00347112	1015.7
22	0.00347112	0.00407968	795.849
23	0.00407968	0.00479154	618.353
24	0.00479154	0.00562423	499.811
25	0.00562423	0.00659827	435.881
26	0.00659827	0.00773766	412.554
27	0.00773766	0.00907046	420.901
28	0.00907046	0.0106295	420.901
29	0.0106295	0.0124532	517.002
30	0.0124532	0.0145864	517.002
31	0.0145864	inf	517.002
