time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	6.13735e-06	3144.4999999999995	0.90356	286.305
1	6.13735e-06	1.36332e-05	3144.4999999999995	0.90356	286.305
2	1.36332e-05	2.27882e-05	2634.06	0.901685	286.305
3	2.27882e-05	3.39697e-05	3424.954	0.90165	286.305
4	3.39697e-05	4.76263e-05	3946.125999999999	0.90165	676.2670000000002
5	4.76263e-05	6.43056e-05	3691.786999999999	1.43984	549.583
6	6.43056e-05	8.4677e-05	3135.6840000000007	4.63566	437.3218
7	8.4677e-05	0.000109557	2573.0190000000002	4.37418	326.10099999999994
8	0.000109557	0.000139945	2086.9650000000006	6.69631	278.767
9	0.000139945	0.000177059	1816.4940000000001	14.0658	286.6186
10	0.000177059	0.000222389	1689.9940000000004	35.3105	310.69120000000004
11	0.000222389	0.000277752	1704.6310000000003	88.4119	361.3065
12	0.000277752	0.000345369	1833.527	194.712	450.55190000000005
13	0.000345369	0.000427953	2027.95	365.738	616.3435
14	0.000427953	0.000528818	2255.511	597.473	823.8352000000001
15	0.000528818	0.000652009	2492.199	875.065	1100.4176000000002
16	0.000652009	0.000802468	2680.006	1176.48	1388.1000000000004
17	0.000802468	0.00098623	2796.5950000000003	1467.19	1716.2449999999997
18	0.00098623	0.00121067	2860.264	1695.99	1987.3899999999994
19	0.00121067	0.00148479	2871.747	1820.19	2205.842
20	0.00148479	0.00181958	2834.096	1838.11	2245.502
21	0.00181958	0.00222848	2765.0499999999993	1774.44	2184.3050000000003
22	0.00222848	0.00272789	2711.482	1657.73	2046.138
23	0.00272789	0.00333784	2797.559999999999	1518.32	1860.1149999999998
24	0.00333784	0.00408281	3278.227999999999	1390.02	1687.1340000000002
25	0.00408281	0.00499267	3999.2299999999996	1305.36	1569.9599999999998
26	0.00499267	0.00610393	3999.2299999999996	1279.39	1498.5309999999997
27	0.00610393	0.00746117	3999.2299999999996	1314.58	1478.9800000000002
28	0.00746117	0.00911883	3999.2299999999996	1314.58	1560.2099999999996
29	0.00911883	0.0111434	3999.2299999999996	1540.21	1683.0299999999997
30	0.0111434	0.0136161	3999.2299999999996	1540.21	1683.0299999999997
31	0.0136161	inf	3999.23	1540.21	1683.03
