time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.79277e-05	436.092
1	1.79277e-05	3.88986e-05	436.092
2	3.88986e-05	6.34293e-05	776.607
3	6.34293e-05	9.2124e-05	1008.59
4	9.2124e-05	0.00012569	857.375
5	0.00012569	0.000164953	627.679
6	0.000164953	0.000210882	505.611
7	0.000210882	0.000264607	451.656
8	0.000264607	0.000327451	432.568
9	0.000327451	0.000400964	448.295
10	0.000400964	0.000486955	503.052
11	0.000486955	0.000587543	596.77
12	0.000587543	0.000705206	727.182
13	0.000705206	0.000842842	893.614
14	0.000842842	0.00100384	1092.61
15	0.00100384	0.00119217	1306.4
16	0.00119217	0.00141247	1494.89
17	0.00141247	0.00167017	1605.04
18	0.00167017	0.0019716	1602.5
19	0.0019716	0.00232421	1491.73
20	0.00232421	0.00273667	1303.59
21	0.00273667	0.00321915	1083.43
22	0.00321915	0.00378353	878.399
23	0.00378353	0.00444371	717.246
24	0.00444371	0.00521596	609.37
25	0.00521596	0.0061193	552.809
26	0.0061193	0.00717597	525.232
27	0.00717597	0.00841202	466.362
28	0.00841202	0.00985789	466.362
29	0.00985789	0.0115492	257.153
30	0.0115492	0.0135276	257.153
31	0.0135276	inf	257.153
