time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.77677e-05	1104.33
1	1.77677e-05	3.85515e-05	1104.33
2	3.85515e-05	6.28633e-05	1624.04
3	6.28633e-05	9.13021e-05	1165.49
4	9.13021e-05	0.000124568	845.971
5	0.000124568	0.000163482	683.563
6	0.000163482	0.000209	568.782
7	0.000209	0.000262246	491.159
8	0.000262246	0.00032453	452.878
9	0.00032453	0.000397386	453.167
10	0.000397386	0.00048261	491.313
11	0.00048261	0.000582301	564.737
12	0.000582301	0.000698914	672.635
13	0.000698914	0.000835323	816.562
14	0.000835323	0.000994886	994.401
15	0.000994886	0.00118154	1188.3
16	0.00118154	0.00139987	1361.23
17	0.00139987	0.00165526	1474.31
18	0.00165526	0.00195401	1505.59
19	0.00195401	0.00230348	1448.21
20	0.00230348	0.00271226	1310.19
21	0.00271226	0.00319043	1123.27
22	0.00319043	0.00374977	933.272
23	0.00374977	0.00440407	778.052
24	0.00440407	0.00516942	676.122
25	0.00516942	0.0060647	626.434
26	0.0060647	0.00711195	606.477
27	0.00711195	0.00833697	596.514
28	0.00833697	0.00976994	596.514
29	0.00976994	0.0114462	612.593
30	0.0114462	0.0134069	612.593
31	0.0134069	inf	612.593
