time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.84492e-05	467.162
1	1.84492e-05	4.003e-05	467.162
2	4.003e-05	6.52743e-05	599.847
3	6.52743e-05	9.48038e-05	482.886
4	9.48038e-05	0.000129346	506.994
5	0.000129346	0.000169751	521.269
6	0.000169751	0.000217016	480.362
7	0.000217016	0.000272303	435.962
8	0.000272303	0.000336976	418.378
9	0.000336976	0.000412627	440.009
10	0.000412627	0.00050112	504.096
11	0.00050112	0.000604634	610.435
12	0.000604634	0.000725719	757.06
13	0.000725719	0.000867359	939.705
14	0.000867359	0.00103304	1147.98
15	0.00103304	0.00122685	1357.72
16	0.00122685	0.00145356	1525.6
17	0.00145356	0.00171875	1609.16
18	0.00171875	0.00202895	1596.41
19	0.00202895	0.00239182	1501.15
20	0.00239182	0.00281628	1344.57
21	0.00281628	0.00331279	1149.8
22	0.00331279	0.00389359	947.003
23	0.00389359	0.00457297	769.164
24	0.00457297	0.00536768	643.866
25	0.00536768	0.0062973	576.51
26	0.0062973	0.00738471	539.155
27	0.00738471	0.00865671	475.996
28	0.00865671	0.0101446	475.996
29	0.0101446	0.0118851	103.165
30	0.0118851	0.0139211	103.165
31	0.0139211	inf	103.165
