time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.85079e-05	355.726
1	1.85079e-05	4.01575e-05	355.726
2	4.01575e-05	6.54821e-05	1087.79
3	6.54821e-05	9.51056e-05	1002.07
4	9.51056e-05	0.000129758	695.146
5	0.000129758	0.000170292	549.499
6	0.000170292	0.000217707	508.827
7	0.000217707	0.00027317	483.778
8	0.00027317	0.000338049	465.01
9	0.000338049	0.000413941	473.401
10	0.000413941	0.000502715	520.814
11	0.000502715	0.000606559	605.753
12	0.000606559	0.00072803	724.519
13	0.00072803	0.000870121	873.291
14	0.000870121	0.00103633	1044.82
15	0.00103633	0.00123076	1221.95
16	0.00123076	0.00145819	1372.66
17	0.00145819	0.00172422	1460.65
18	0.00172422	0.00203541	1466.56
19	0.00203541	0.00239943	1389.49
20	0.00239943	0.00282525	1242.02
21	0.00282525	0.00332334	1052.33
22	0.00332334	0.00390598	860.218
23	0.00390598	0.00458753	703.171
24	0.00458753	0.00538477	597.171
25	0.00538477	0.00631734	533.184
26	0.00631734	0.00740822	494.095
27	0.00740822	0.00868427	483.544
28	0.00868427	0.0101769	483.544
29	0.0101769	0.011923	637.957
30	0.011923	0.0139654	637.957
31	0.0139654	inf	637.957
