time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	6.15836e-06	3144.4999999999995	0.898662	326.32999999999987
1	6.15836e-06	1.36799e-05	3144.4999999999995	0.898662	326.32999999999987
2	1.36799e-05	2.28663e-05	2634.06	0.898592	326.32999999999987
3	2.28663e-05	3.4086e-05	3424.954	0.898584	423.9357999999999
4	3.4086e-05	4.77893e-05	3946.125999999999	0.898572	814.3589999999999
5	4.77893e-05	6.45258e-05	3665.1569999999997	12.5759	704.2084000000001
6	6.45258e-05	8.49669e-05	3135.6840000000007	11.6794	641.2874
7	8.49669e-05	0.000109933	2573.0190000000002	4.59509	590.3849
8	0.000109933	0.000140424	2086.9650000000006	4.31485	512.0756
9	0.000140424	0.000177666	1816.4940000000001	10.6141	452.0535
10	0.000177666	0.00022315	1689.9940000000004	31.8775	437.6281
11	0.00022315	0.000278703	1715.92	84.6374	473.2398
12	0.000278703	0.000346552	1833.527	188.096	555.7471999999999
13	0.000346552	0.000429419	2027.95	354.002	688.2362
14	0.000429419	0.000530629	2255.511	581.652	874.6015
15	0.000530629	0.000654241	2492.199	858.698	1115.1732000000002
16	0.000654241	0.000805215	2680.006	1164.02	1401.7959999999998
17	0.000805215	0.000989607	2796.5950000000003	1464.47	1762.089
18	0.000989607	0.00121481	2860.264	1708.54	2049.182
19	0.00121481	0.00148987	2871.747	1847.39	2221.254
20	0.00148987	0.00182581	2829.2380000000003	1873.73	2264.0219999999995
21	0.00182581	0.00223611	2765.0499999999993	1813.27	2194.2460000000005
22	0.00223611	0.00273723	2711.482	1696.98	2017.2080000000003
23	0.00273723	0.00334927	2797.559999999999	1557.75	1843.0519999999997
24	0.00334927	0.00409679	3278.227999999999	1434.98	1694.6839999999995
25	0.00409679	0.00500977	3999.2299999999996	1362.76	1586.6000000000004
26	0.00500977	0.00612484	3999.2299999999996	1352.55	1513.7020000000002
27	0.00612484	0.00748672	3999.2299999999996	1409.96	1494.6700000000003
28	0.00748672	0.00915006	3999.2299999999996	1409.96	1545.7719999999997
29	0.00915006	0.0111816	3999.2299999999996	1697.07	1579.8399999999995
30	0.0111816	0.0136628	3999.2299999999996	1697.07	1579.8399999999995
31	0.0136628	inf	3999.23	1697.07	1579.84
