time_index	left_time_boundary	right_time_boundary	lambda
0	0	9.76821e-06	3002.36
1	9.76821e-06	2.11946e-05	3002.36
2	2.11946e-05	3.45605e-05	6427.2
3	3.45605e-05	5.01954e-05	4316.74
4	5.01954e-05	6.84843e-05	3334.5
5	6.84843e-05	8.98777e-05	2601.19
6	8.98777e-05	0.000114903	2018.54
7	0.000114903	0.000144176	1582.35
8	0.000144176	0.000178418	1288.19
9	0.000178418	0.000218472	1115.6
10	0.000218472	0.000265326	1037.03
11	0.000265326	0.000320133	1025.68
12	0.000320133	0.000384244	1060.71
13	0.000384244	0.000459238	1125.96
14	0.000459238	0.000546961	1207.89
15	0.000546961	0.000649576	1295.1
16	0.000649576	0.00076961	1377.46
17	0.00076961	0.000910019	1443.09
18	0.000910019	0.00107426	1478.8
19	0.00107426	0.00126639	1476.95
20	0.00126639	0.00149113	1435.88
21	0.00149113	0.00175401	1355.26
22	0.00175401	0.00206152	1238.08
23	0.00206152	0.00242124	1092.95
24	0.00242124	0.00284201	933.499
25	0.00284201	0.00333421	775.986
26	0.00333421	0.00390996	635.77
27	0.00390996	0.00458344	503.536
28	0.00458344	0.00537125	503.536
29	0.00537125	0.00629278	312.495
30	0.00629278	0.00737075	312.495
31	0.00737075	inf	312.495
