time_index	left_time_boundary	right_time_boundary	lambda
0	0	9.85571e-06	2755.15
1	9.85571e-06	2.13844e-05	2755.15
2	2.13844e-05	3.48701e-05	4859.7
3	3.48701e-05	5.06451e-05	4584.61
4	5.06451e-05	6.90978e-05	3561.94
5	6.90978e-05	9.06828e-05	2547.43
6	9.06828e-05	0.000115932	1850.32
7	0.000115932	0.000145467	1422.22
8	0.000145467	0.000180016	1182.94
9	0.000180016	0.000220429	1061.97
10	0.000220429	0.000267703	1014.09
11	0.000267703	0.000323001	1017.19
12	0.000323001	0.000387686	1060.24
13	0.000387686	0.000463352	1134.37
14	0.000463352	0.000551861	1229.12
15	0.000551861	0.000655395	1330.85
16	0.000655395	0.000776504	1423.41
17	0.000776504	0.000918172	1492.08
18	0.000918172	0.00108389	1526.43
19	0.00108389	0.00127773	1520.51
20	0.00127773	0.00150448	1475.26
21	0.00150448	0.00176972	1397.84
22	0.00176972	0.00207999	1297.03
23	0.00207999	0.00244292	1182.77
24	0.00244292	0.00286747	1069.93
25	0.00286747	0.00336407	978.382
26	0.00336407	0.00394498	932.796
27	0.00394498	0.0046245	1080.87
28	0.0046245	0.00541936	1080.87
29	0.00541936	0.00634915	19.739
30	0.00634915	0.00743678	19.739
31	0.00743678	inf	19.739
