time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.98114e-05	253.251
1	1.98114e-05	4.29858e-05	253.251
2	4.29858e-05	7.0094e-05	846.337
3	7.0094e-05	0.000101804	513.328
4	0.000101804	0.000138896	472.383
5	0.000138896	0.000182286	422.084
6	0.000182286	0.00023304	407.718
7	0.00023304	0.00029241	396.235
8	0.00029241	0.000361858	398.036
9	0.000361858	0.000443094	428.439
10	0.000443094	0.000538121	489.279
11	0.000538121	0.000649279	579.341
12	0.000649279	0.000779305	701.67
13	0.000779305	0.000931403	860.77
14	0.000931403	0.00110932	1055.63
15	0.00110932	0.00131744	1265.96
16	0.00131744	0.00156089	1443.18
17	0.00156089	0.00184566	1532.64
18	0.00184566	0.00217877	1511.98
19	0.00217877	0.00256843	1398.84
20	0.00256843	0.00302423	1230.14
21	0.00302423	0.0035574	1030.82
22	0.0035574	0.00418108	822.981
23	0.00418108	0.00491063	642.508
24	0.00491063	0.00576402	517.937
25	0.00576402	0.00676227	450.589
26	0.00676227	0.00792998	426.867
27	0.00792998	0.00929591	448.923
28	0.00929591	0.0108937	448.923
29	0.0108937	0.0127627	529.104
30	0.0127627	0.014949	529.104
31	0.014949	inf	529.104
