time_index	left_time_boundary	right_time_boundary	lambda
0	0	9.69889e-06	2522.92
1	9.69889e-06	2.10442e-05	2522.92
2	2.10442e-05	3.43153e-05	5749.42
3	3.43153e-05	4.98392e-05	4820.3
4	4.98392e-05	6.79983e-05	3828.06
5	6.79983e-05	8.92399e-05	2876.93
6	8.92399e-05	0.000114087	2109.56
7	0.000114087	0.000143152	1575.09
8	0.000143152	0.000177151	1243.39
9	0.000177151	0.000216922	1061.04
10	0.000216922	0.000263443	984.065
11	0.000263443	0.000317861	980.808
12	0.000317861	0.000381517	1026.88
13	0.000381517	0.000455979	1103.34
14	0.000455979	0.00054308	1196.2
15	0.00054308	0.000644966	1293.09
16	0.000644966	0.000764148	1379.43
17	0.000764148	0.000903561	1440.74
18	0.000903561	0.00106664	1469.94
19	0.00106664	0.0012574	1465.92
20	0.0012574	0.00148054	1428.24
21	0.00148054	0.00174156	1359.3
22	0.00174156	0.00204689	1261.85
23	0.00204689	0.00240405	1134.44
24	0.00240405	0.00282184	982.328
25	0.00282184	0.00331055	824.909
26	0.00331055	0.00388221	682.574
27	0.00388221	0.00455091	553.058
28	0.00455091	0.00533313	553.058
29	0.00533313	0.00624813	581.286
30	0.00624813	0.00731844	581.286
31	0.00731844	inf	581.286
