time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	6.19621e-06	2417.23	0.894156	734.5659999999999
1	6.19621e-06	1.3764e-05	2417.23	0.894156	734.5659999999999
2	1.3764e-05	2.30068e-05	2697.482	0.89309	734.5659999999999
3	2.30068e-05	3.42956e-05	3403.7840000000006	22.0098	710.504
4	3.42956e-05	4.80831e-05	3690.7870000000007	32.6597	614.256
5	4.80831e-05	6.49224e-05	3421.199999999999	6.06495	601.2716999999999
6	6.49224e-05	8.54892e-05	2865.266	6.90003	566.101
7	8.54892e-05	0.000110608	2320.041	7.45226	519.1142
8	0.000110608	0.000141288	1882.6559999999995	8.50229	466.44160000000005
9	0.000141288	0.000178758	1643.2840000000003	14.6068	413.9376
10	0.000178758	0.000224522	1560.5950000000005	33.3275	402.9702
11	0.000224522	0.000280416	1589.8410000000001	81.7013	437.3715999999999
12	0.000280416	0.000348682	1714.8300000000002	180.77	526.5868999999999
13	0.000348682	0.000432058	1934.9659999999997	344.608	671.8321999999998
14	0.000432058	0.00053389	2180.4460000000004	572.336	874.176
15	0.00053389	0.000658263	2425.81	849.864	1128.4048
16	0.000658263	0.000810165	2627.33	1154.44	1448.8019999999997
17	0.000810165	0.00099569	2760.864	1452.09	1776.557
18	0.00099569	0.00122228	2788.4399999999996	1692.65	2067.735
19	0.00122228	0.00149903	2759.705999999999	1829.86	2219.475
20	0.00149903	0.00183703	2688.7899999999995	1855.86	2252.334
21	0.00183703	0.00224986	2561.6830000000004	1796.81	2192.3300000000004
22	0.00224986	0.00275405	2484.055	1686.11	2035.6099999999997
23	0.00275405	0.00336986	2572.327	1552.48	1873.9180000000003
24	0.00336986	0.00412197	2807.424	1426.6	1741.426
25	0.00412197	0.00504056	4512.330000000001	1332.6	1681.918
26	0.00504056	0.00616248	4512.330000000001	1265.95	1634.5359999999998
27	0.00616248	0.00753274	4512.330000000001	1174.69	1543.5999999999997
28	0.00753274	0.0092063	4512.330000000001	1174.69	1408.8569999999995
29	0.0092063	0.0112503	4512.330000000001	1006.38	1351.1099999999997
30	0.0112503	0.0137467	4512.330000000001	1006.38	1351.1099999999997
31	0.0137467	inf	4512.33	1006.38	1351.11
