time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.74478e-05	903.307
1	1.74478e-05	3.78573e-05	903.307
2	3.78573e-05	6.17313e-05	1754.01
3	6.17313e-05	8.96579e-05	1346.27
4	8.96579e-05	0.000122325	915.37
5	0.000122325	0.000160538	669.676
6	0.000160538	0.000205237	553.238
7	0.000205237	0.000257523	503.734
8	0.000257523	0.000318685	481.752
9	0.000318685	0.00039023	484.125
10	0.00039023	0.000473919	515.798
11	0.000473919	0.000571815	580.814
12	0.000571815	0.000686328	681.43
13	0.000686328	0.00082028	818.624
14	0.00082028	0.00097697	990.701
15	0.00097697	0.00116026	1185.84
16	0.00116026	0.00137466	1372.82
17	0.00137466	0.00162546	1505.95
18	0.00162546	0.00191883	1552.47
19	0.00191883	0.00226199	1509.12
20	0.00226199	0.00266341	1390.8
21	0.00266341	0.00313298	1222.67
22	0.00313298	0.00368225	1038.59
23	0.00368225	0.00432476	874.372
24	0.00432476	0.00507633	755.349
25	0.00507633	0.00595549	687.121
26	0.00595549	0.00698388	662.455
27	0.00698388	0.00818684	692.258
28	0.00818684	0.009594	692.258
29	0.009594	0.01124	903.111
30	0.01124	0.0131655	903.111
31	0.0131655	inf	903.111
