time_index	left_time_boundary	right_time_boundary	lambda
0	0	9.47285e-06	2158.54
1	9.47285e-06	2.05537e-05	2158.54
2	2.05537e-05	3.35156e-05	6161.48
3	3.35156e-05	4.86777e-05	5195.71
4	4.86777e-05	6.64136e-05	3948.55
5	6.64136e-05	8.71601e-05	2774.85
6	8.71601e-05	0.000111428	1968.97
7	0.000111428	0.000139816	1504.81
8	0.000139816	0.000173023	1250.14
9	0.000173023	0.000211866	1113.93
10	0.000211866	0.000257304	1051.65
11	0.000257304	0.000310454	1042.52
12	0.000310454	0.000372626	1075.61
13	0.000372626	0.000445352	1142.2
14	0.000445352	0.000530423	1231.33
15	0.000530423	0.000629936	1328.95
16	0.000629936	0.00074634	1418.5
17	0.00074634	0.000882504	1483.67
18	0.000882504	0.00104178	1514.29
19	0.00104178	0.0012281	1509.34
20	0.0012281	0.00144604	1473.22
21	0.00144604	0.00170098	1409.73
22	0.00170098	0.00199919	1317.23
23	0.00199919	0.00234803	1190.41
24	0.00234803	0.00275608	1032.93
25	0.00275608	0.00323339	865.136
26	0.00323339	0.00379173	714.89
27	0.00379173	0.00444485	590.829
28	0.00444485	0.00520884	590.829
29	0.00520884	0.00610251	141.528
30	0.00610251	0.00714789	141.528
31	0.00714789	inf	141.528
