time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	6.15561e-06	2950.2399999999993	0.899004	286.305
1	6.15561e-06	1.36738e-05	2950.2399999999993	0.899004	286.305
2	1.36738e-05	2.2856e-05	2880.1519999999996	0.898984	286.305
3	2.2856e-05	3.40708e-05	3522.5340000000006	0.898975	286.305
4	3.40708e-05	4.7768e-05	3799.91	0.898973	676.2670000000002
5	4.7768e-05	6.4497e-05	3510.876999999999	0.898974	549.583
6	6.4497e-05	8.49289e-05	2877.565000000001	1.33207	423.4192
7	8.49289e-05	0.000109883	2327.2960000000003	2.72837	321.3675999999999
8	0.000109883	0.000140362	1990.3659999999998	5.47976	278.767
9	0.000140362	0.000177586	1793.5659999999993	13.9066	286.6186
10	0.000177586	0.00022305	1737.4120000000003	37.6754	310.69120000000004
11	0.00022305	0.000278578	1786.3680000000002	94.7188	361.3065
12	0.000278578	0.000346397	1923.2570000000005	204.49	450.55190000000005
13	0.000346397	0.000429227	2101.3250000000003	375.453	616.3435
14	0.000429227	0.000530391	2287.816	602.035	823.8352000000001
15	0.000530391	0.000653949	2492.4759999999997	870.442	1100.4176000000002
16	0.000653949	0.000804855	2683.492	1162.11	1388.1000000000004
17	0.000804855	0.000989165	2770.8800000000006	1448.42	1716.2449999999997
18	0.000989165	0.00121427	2769.7610000000004	1682.44	1987.3899999999994
19	0.00121427	0.0014892	2700.497999999999	1817.0	2205.842
20	0.0014892	0.00182499	2595.027	1840.74	2245.502
21	0.00182499	0.00223511	2468.7250000000004	1773.91	2175.1460000000006
22	0.00223511	0.00273601	2308.7319999999995	1648.59	2046.138
23	0.00273601	0.00334778	2166.9280000000003	1502.39	1860.1149999999998
24	0.00334778	0.00409496	2185.552	1372.46	1676.0320000000002
25	0.00409496	0.00500753	2254.6700000000005	1285.65	1562.0679999999998
26	0.00500753	0.0061221	2254.6700000000005	1248.26	1493.9639999999997
27	0.0061221	0.00748337	2254.6700000000005	1256.15	1478.9800000000002
28	0.00748337	0.00914597	2254.6700000000005	1256.15	1560.2099999999996
29	0.00914597	0.0111766	2254.6700000000005	1389.52	1683.0299999999997
30	0.0111766	0.0136567	2254.6700000000005	1389.52	1683.0299999999997
31	0.0136567	inf	2254.67	1389.52	1683.03
