time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	6.12564e-06	2842.269999999999	0.904544	456.406
1	6.12564e-06	1.36072e-05	2842.269999999999	0.904544	456.406
2	1.36072e-05	2.27448e-05	2773.676999999999	0.903373	456.406
3	2.27448e-05	3.3905e-05	3322.4659999999994	0.903374	456.406
4	3.3905e-05	4.75354e-05	3641.4430000000007	0.903372	347.21999999999997
5	4.75354e-05	6.4183e-05	3400.756	1.33026	322.4358
6	6.4183e-05	8.45155e-05	2815.7700000000004	7.45332	331.61310000000003
7	8.45155e-05	0.000109349	2243.486	6.77037	384.28010000000006
8	0.000109349	0.000139678	1805.6360000000004	8.62277	318.581
9	0.000139678	0.000176722	1611.6020000000003	17.2276	295.64799999999997
10	0.000176722	0.000221965	1539.2249999999997	41.9739	311.1901
11	0.000221965	0.000277222	1579.8280000000002	98.3799	356.6921
12	0.000277222	0.00034471	1701.1659999999997	203.08	444.647
13	0.00034471	0.000427137	1950.1419999999996	366.766	587.9445999999999
14	0.000427137	0.00052781	2218.886	589.412	813.1344999999999
15	0.00052781	0.000650765	2491.58	860.58	1077.6870000000001
16	0.000650765	0.000800937	2713.7839999999997	1161.83	1385.3650000000002
17	0.000800937	0.00098435	2848.1879999999996	1462.02	1737.2579999999998
18	0.00098435	0.00120836	2855.6040000000003	1708.1	2025.5960000000002
19	0.00120836	0.00148196	2787.4259999999995	1844.69	2262.696
20	0.00148196	0.00181611	2643.158	1861.19	2315.9000000000005
21	0.00181611	0.00222423	2341.0060000000003	1791.42	2249.2160000000003
22	0.00222423	0.00272269	1976.4820000000002	1676.41	2094.148
23	0.00272269	0.00333148	1609.1679999999997	1548.72	1838.3880000000001
24	0.00333148	0.00407502	1597.3479999999995	1435.6	1590.9800000000002
25	0.00407502	0.00498315	2519.92	1356.72	1358.7259999999999
26	0.00498315	0.00609229	2519.92	1320.39	1170.266
27	0.00609229	0.00744694	2519.92	1330.74	1030.49
28	0.00744694	0.00910144	2519.92	1330.74	1014.0924000000001
29	0.00910144	0.0111222	2519.92	1516.13	989.4960000000002
30	0.0111222	0.0135902	2519.92	1516.13	989.4960000000002
31	0.0135902	inf	2519.92	1516.13	989.496
