time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	6.10607e-06	3045.7999999999997	0.907474	475.93799999999993
1	6.10607e-06	1.35637e-05	3045.7999999999997	0.907474	475.93799999999993
2	1.35637e-05	2.26721e-05	2246.554	20.2755	475.93799999999993
3	2.26721e-05	3.37966e-05	2763.62	70.1018	468.1834999999999
4	3.37966e-05	4.73835e-05	3420.5389999999993	6.38704	398.39299999999986
5	4.73835e-05	6.39779e-05	3402.859999999999	2.95853	452.22679999999997
6	6.39779e-05	8.42455e-05	2919.4100000000008	4.43535	436.73050000000006
7	8.42455e-05	0.000108999	2313.092	5.73938	309.0596
8	0.000108999	0.000139232	1829.296	8.5156	239.117
9	0.000139232	0.000176157	1588.8489999999997	17.8805	234.53100000000003
10	0.000176157	0.000221255	1517.8820000000003	43.0612	266.508
11	0.000221255	0.000276336	1558.1	99.0656	325.849
12	0.000276336	0.000343609	1685.788	203.802	434.9305
13	0.000343609	0.000425773	1883.7330000000004	368.567	598.1762
14	0.000425773	0.000526123	2151.731	591.755	816.8762999999999
15	0.000526123	0.000648686	2417.365	861.411	1113.567
16	0.000648686	0.000798378	2651.254	1159.02	1427.6680000000001
17	0.000798378	0.000981205	2808.8540000000003	1455.65	1789.2320000000004
18	0.000981205	0.0012045	2847.6410000000005	1702.51	2102.9249999999997
19	0.0012045	0.00147722	2804.4049999999997	1847.59	2303.143
20	0.00147722	0.00181031	2722.823000000001	1878.05	2322.475
21	0.00181031	0.00221712	2621.4669999999996	1817.71	2216.234
22	0.00221712	0.00271399	2516.03	1699.1	1995.8939999999998
23	0.00271399	0.00332083	2403.014	1554.15	1670.002
24	0.00332083	0.004062	2357.61	1413.28	1438.0700000000002
25	0.004062	0.00496723	2316.19	1302.15	1327.1239999999998
26	0.00496723	0.00607283	2316.19	1235.8	1322.6920000000005
27	0.00607283	0.00742315	2316.19	1212.57	1343.09
28	0.00742315	0.00907236	2316.19	1212.57	1296.74
29	0.00907236	0.0110866	2316.19	1287.5	1250.39
30	0.0110866	0.0135468	2316.19	1287.5	1250.39
31	0.0135468	inf	2316.19	1287.5	1250.39
