time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	6.16139e-06	2019.2499999999998	57.0527	1360.5400000000002
1	6.16139e-06	1.36866e-05	2019.2499999999998	57.0527	1360.5400000000002
2	1.36866e-05	2.28775e-05	2883.4980000000005	0.898131	1360.5400000000002
3	2.28775e-05	3.41028e-05	4039.2000000000003	0.89813	1296.398
4	3.41028e-05	4.78128e-05	4588.039	0.89813	1039.8299999999997
5	4.78128e-05	6.45575e-05	3935.6190000000006	0.89813	875.1595999999997
6	6.45575e-05	8.50086e-05	3036.4220000000005	4.55309	797.7225000000001
7	8.50086e-05	0.000109987	2335.888	10.6718	721.1174000000002
8	0.000109987	0.000140493	1881.4700000000003	13.2946	631.0166
9	0.000140493	0.000177753	1685.2680000000005	21.6273	550.7898
10	0.000177753	0.00022326	1633.8960000000002	47.147	504.71229999999997
11	0.00022326	0.00027884	1704.0410000000004	105.211	513.9169999999999
12	0.00027884	0.000346722	1869.7669999999998	210.806	577.5176
13	0.000346722	0.00042963	2078.0049999999997	371.423	694.1205
14	0.00042963	0.000530889	2307.3340000000003	585.371	862.4547999999999
15	0.000530889	0.000654563	2543.1100000000006	843.871	1079.0012
16	0.000654563	0.000805611	2732.1300000000006	1133.0	1359.0349999999999
17	0.000805611	0.000990094	2844.4600000000005	1429.27	1683.728
18	0.000990094	0.00121541	2895.491	1688.49	1946.4279999999999
19	0.00121541	0.0014906	2883.2700000000004	1854.61	2120.5119999999997
20	0.0014906	0.00182671	2771.9580000000005	1901.28	2180.5759999999996
21	0.00182671	0.00223721	2579.1360000000004	1843.04	2137.8469999999998
22	0.00223721	0.00273858	2344.8720000000003	1713.74	2004.3439999999996
23	0.00273858	0.00335092	2285.9699999999993	1556.5	1834.0749999999994
24	0.00335092	0.0040988	2743.3219999999997	1413.71	1664.5409999999997
25	0.0040988	0.00501223	3429.35	1308.56	1534.9530000000002
26	0.00501223	0.00612784	3429.35	1237.31	1468.784
27	0.00612784	0.0074904	3429.35	1167.21	1473.8300000000002
28	0.0074904	0.00915455	3429.35	1167.21	297.53668000000005
29	0.00915455	0.0111871	3429.35	1064.38	3.4633499999999993
30	0.0111871	0.0136695	3429.35	1064.38	3.4633499999999993
31	0.0136695	inf	3429.35	1064.38	3.46335
