time_index	left_time_boundary	right_time_boundary	lambda
0	0	9.80595e-06	2701.25
1	9.80595e-06	2.12765e-05	2701.25
2	2.12765e-05	3.46941e-05	5197.32
3	3.46941e-05	5.03893e-05	4493.01
4	5.03893e-05	6.87489e-05	3517.58
5	6.87489e-05	9.02249e-05	2612.02
6	9.02249e-05	0.000115347	1916.01
7	0.000115347	0.000144733	1462.07
8	0.000144733	0.000179107	1199.41
9	0.000179107	0.000219316	1058.3
10	0.000219316	0.000266351	997.853
11	0.000266351	0.00032137	998.297
12	0.00032137	0.000385729	1047.03
13	0.000385729	0.000461012	1134.18
14	0.000461012	0.000549075	1248.22
15	0.000549075	0.000652086	1370.86
16	0.000652086	0.000772583	1478.25
17	0.000772583	0.000913535	1548.9
18	0.000913535	0.00107841	1572.57
19	0.00107841	0.00127128	1550.82
20	0.00127128	0.00149689	1491.54
21	0.00149689	0.00176079	1402.79
22	0.00176079	0.00206949	1288.66
23	0.00206949	0.00243059	1150.45
24	0.00243059	0.00285299	991.926
25	0.00285299	0.00334709	826.603
26	0.00334709	0.00392506	680.052
27	0.00392506	0.00460115	562.314
28	0.00460115	0.005392	562.314
29	0.005392	0.00631709	536.697
30	0.00631709	0.00739923	536.697
31	0.00739923	inf	536.697
