time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	6.12291e-06	2759.91	0.912867	1040.7399999999998
1	6.12291e-06	1.36011e-05	2759.91	0.912867	1040.7399999999998
2	1.36011e-05	2.27346e-05	2277.4699999999993	0.903809	1040.7399999999998
3	2.27346e-05	3.38898e-05	2981.151	24.5689	1113.643
4	3.38898e-05	4.75142e-05	3744.6639999999993	40.0693	1283.75
5	4.75142e-05	6.41543e-05	3569.7379999999994	6.39427	1087.286
6	6.41543e-05	8.44777e-05	2856.2319999999995	7.44072	893.0515999999999
7	8.44777e-05	0.0001093	2198.0939999999996	12.1683	734.9484000000001
8	0.0001093	0.000139616	1739.31	16.6186	609.7644
9	0.000139616	0.000176643	1557.808	26.7016	517.1623
10	0.000176643	0.000221865	1508.7850000000003	53.1763	481.52739999999994
11	0.000221865	0.000277098	1567.222	110.391	496.14660000000003
12	0.000277098	0.000344556	1715.8659999999998	213.308	568.2446
13	0.000344556	0.000426946	1962.374	371.539	693.9499999999999
14	0.000426946	0.000527574	2202.166	585.14	871.8038000000001
15	0.000527574	0.000650474	2444.086	845.931	1122.4265999999998
16	0.000650474	0.000800579	2661.5979999999995	1139.25	1424.7560000000003
17	0.000800579	0.00098391	2811.208	1438.02	1748.0560000000003
18	0.00098391	0.00120782	2844.088	1691.24	2036.2280000000003
19	0.00120782	0.00148129	2763.1899999999996	1840.71	2223.56
20	0.00148129	0.0018153	2607.6420000000007	1871.39	2274.7159999999994
21	0.0018153	0.00222324	2391.376	1813.92	2168.2520000000004
22	0.00222324	0.00272147	2235.7080000000005	1705.92	1984.232
23	0.00272147	0.00332999	2132.358	1576.74	1769.5340000000006
24	0.00332999	0.0040732	2105.11	1454.93	1568.014
25	0.0040732	0.00498093	2125.86	1368.81	1384.4239999999998
26	0.00498093	0.00608957	2125.86	1333.56	1230.308
27	0.00608957	0.00744362	2125.86	1343.68	1143.8900000000003
28	0.00744362	0.00909738	2125.86	1343.68	1118.074
29	0.00909738	0.0111172	2125.86	1457.71	1111.6200000000001
30	0.0111172	0.0135841	2125.86	1457.71	1111.6200000000001
31	0.0135841	inf	2125.86	1457.71	1111.62
