time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	6.18972e-06	2121.32	0.898038	734.5659999999999
1	6.18972e-06	1.37495e-05	2121.32	0.898038	734.5659999999999
2	1.37495e-05	2.29827e-05	2286.7580000000003	17.6032	734.5659999999999
3	2.29827e-05	3.42596e-05	3015.562	32.4168	710.504
4	3.42596e-05	4.80327e-05	3491.6089999999995	18.2344	614.256
5	4.80327e-05	6.48544e-05	3286.478	14.245	601.2716999999999
6	6.48544e-05	8.53996e-05	2789.512	12.4585	566.101
7	8.53996e-05	0.000110492	2271.8280000000004	8.59042	519.1142
8	0.000110492	0.00014114	1865.3500000000001	8.97674	466.44160000000005
9	0.00014114	0.00017857	1685.4920000000004	16.3031	415.9548
10	0.00017857	0.000224286	1622.96	37.8003	402.9702
11	0.000224286	0.000280122	1661.0109999999995	89.882	437.3715999999999
12	0.000280122	0.000348316	1765.036	192.372	526.5868999999999
13	0.000348316	0.000431605	1975.994	357.23	671.8321999999998
14	0.000431605	0.000533331	2208.122	582.106	874.176
15	0.000533331	0.000657573	2453.4440000000004	853.838	1128.4048
16	0.000657573	0.000809316	2666.544000000001	1152.88	1448.8019999999997
17	0.000809316	0.000994647	2805.6479999999997	1448.41	1776.557
18	0.000994647	0.001221	2810.4320000000002	1688.98	2067.735
19	0.001221	0.00149746	2734.5260000000003	1823.12	2219.475
20	0.00149746	0.00183511	2604.793999999999	1843.55	2252.334
21	0.00183511	0.0022475	2401.268	1782.52	2192.3300000000004
22	0.0022475	0.00275117	2187.45	1676.49	2035.6099999999997
23	0.00275117	0.00336633	2016.7040000000004	1553.33	1873.9180000000003
24	0.00336633	0.00411765	1993.1600000000003	1441.34	1741.426
25	0.00411765	0.00503528	2129.24	1362.37	1681.918
26	0.00503528	0.00615602	2129.24	1314.22	1634.5359999999998
27	0.00615602	0.00752484	2129.24	1265.89	1543.5999999999997
28	0.00752484	0.00919665	2129.24	1265.89	1408.8569999999995
29	0.00919665	0.0112385	2129.24	1234.12	1351.1099999999997
30	0.0112385	0.0137323	2129.24	1234.12	1351.1099999999997
31	0.0137323	inf	2129.24	1234.12	1351.11
