time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	6.15225e-06	2121.32	0.901206	359.69
1	6.15225e-06	1.36663e-05	2121.32	0.901206	359.69
2	1.36663e-05	2.28436e-05	2286.7580000000003	0.899522	359.69
3	2.28436e-05	3.40522e-05	3015.562	0.899471	398.46270000000004
4	3.40522e-05	4.77419e-05	3491.6089999999995	0.899465	747.4170000000003
5	4.77419e-05	6.44618e-05	3322.5170000000003	1.11515	465.0789999999999
6	6.44618e-05	8.48826e-05	2789.512	5.83641	335.31180000000006
7	8.48826e-05	0.000109824	2271.8280000000004	8.09077	325.3096
8	0.000109824	0.000140285	1865.3500000000001	11.7045	335.9821
9	0.000140285	0.000177489	1685.4920000000004	19.5988	318.793
10	0.000177489	0.000222929	1622.96	40.9044	321.03000000000003
11	0.000222929	0.000278426	1655.2479999999996	94.3097	374.51409999999987
12	0.000278426	0.000346208	1765.036	199.448	469.1696
13	0.000346208	0.000428993	1975.994	367.399	629.3227999999999
14	0.000428993	0.000530102	2208.122	595.009	870.2147999999999
15	0.000530102	0.000653592	2453.4440000000004	867.395	1145.99
16	0.000653592	0.000804416	2666.544000000001	1163.6	1461.592
17	0.000804416	0.000988626	2795.563	1454.09	1813.3200000000004
18	0.000988626	0.00121361	2810.4320000000002	1693.05	2097.68
19	0.00121361	0.00148839	2734.5260000000003	1832.3	2266.3839999999996
20	0.00148839	0.001824	2604.793999999999	1857.11	2286.7250000000004
21	0.001824	0.00223389	2401.268	1788.63	2206.7840000000006
22	0.00223389	0.00273451	2203.556	1663.02	2030.7720000000004
23	0.00273451	0.00334595	2029.5920000000006	1519.43	1806.8000000000002
24	0.00334595	0.00409272	1978.0400000000004	1393.67	1631.34
25	0.00409272	0.0050048	2129.24	1312.79	1545.4240000000002
26	0.0050048	0.00611876	2129.24	1283.89	1548.224
27	0.00611876	0.00747929	2129.24	1316.36	1609.9199999999998
28	0.00747929	0.00914098	2129.24	1316.36	1856.3249999999998
29	0.00914098	0.0111705	2129.24	1594.23	2102.7299999999996
30	0.0111705	0.0136492	2129.24	1594.23	2102.7299999999996
31	0.0136492	inf	2129.24	1594.23	2102.73
