time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	6.06941e-06	2010.59	0.911938	387.3770000000001
1	6.06941e-06	1.34823e-05	2010.59	0.911938	387.3770000000001
2	1.34823e-05	2.2536e-05	2407.8779999999997	0.911767	387.3770000000001
3	2.2536e-05	3.35937e-05	3477.464000000001	0.911744	406.7786000000001
4	3.35937e-05	4.70991e-05	3886.382	0.91174	581.393
5	4.70991e-05	6.35938e-05	3696.0260000000003	0.91174	492.0566000000002
6	6.35938e-05	8.37397e-05	3192.000000000001	0.911741	402.7906000000001
7	8.37397e-05	0.000108345	2526.8260000000005	1.70623	332.51020000000005
8	0.000108345	0.000138396	2092.493	4.8463	323.863
9	0.000138396	0.0001751	1808.8199999999997	13.6417	314.18299999999994
10	0.0001751	0.000219927	1696.358	37.2953	323.965
11	0.000219927	0.000274677	1698.3939999999998	92.1046	370.6040000000001
12	0.000274677	0.000341546	1833.818	197.38	475.46419999999995
13	0.000341546	0.000423217	2034.5619999999997	365.346	638.6872
14	0.000423217	0.000522965	2257.0750000000003	594.618	858.7698
15	0.000522965	0.000644792	2509.0050000000006	872.159	1128.554
16	0.000644792	0.000793585	2742.4300000000003	1176.62	1461.908
17	0.000793585	0.000975314	2884.1569999999992	1475.28	1773.1770000000004
18	0.000975314	0.00119727	2913.565	1720.15	2085.1360000000004
19	0.00119727	0.00146835	2857.055	1867.26	2270.495
20	0.00146835	0.00179944	2686.4320000000007	1905.8	2311.708
21	0.00179944	0.00220381	2414.652	1852.43	2258.6920000000005
22	0.00220381	0.0026977	2045.82	1734.43	2141.4560000000006
23	0.0026977	0.0033009	1727.2359999999999	1587.13	1983.4739999999995
24	0.0033009	0.00403762	2301.054	1445.08	1894.5459999999998
25	0.00403762	0.00493741	4778.31	1333.38	1882.126
26	0.00493741	0.00603637	4778.31	1271.21	1910.9900000000002
27	0.00603637	0.00737859	4778.31	1282.11	1950.1500000000005
28	0.00737859	0.0090179	4778.31	1282.11	2068.3199999999997
29	0.0090179	0.0110201	4778.31	1568.68	2186.4899999999993
30	0.0110201	0.0134654	4778.31	1568.68	2186.4899999999993
31	0.0134654	inf	4778.31	1568.68	2186.49
