time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	6.1069e-06	3785.5699999999997	0.910365	475.93799999999993
1	6.1069e-06	1.35655e-05	3785.5699999999997	0.910365	475.93799999999993
2	1.35655e-05	2.26752e-05	2594.051	0.906173	475.93799999999993
3	2.26752e-05	3.38012e-05	2790.533	29.4979	468.1834999999999
4	3.38012e-05	4.73899e-05	3476.1329999999994	41.0685	398.39299999999986
5	4.73899e-05	6.39866e-05	3452.8720000000008	10.4211	452.22679999999997
6	6.39866e-05	8.42568e-05	2901.7039999999997	5.27449	436.73050000000006
7	8.42568e-05	0.000109014	2328.552	6.02681	309.0596
8	0.000109014	0.000139251	1879.67	9.48818	239.117
9	0.000139251	0.000176181	1662.9250000000002	19.1481	234.53100000000003
10	0.000176181	0.000221285	1562.2750000000003	44.2766	266.508
11	0.000221285	0.000276373	1577.9680000000003	99.8712	325.849
12	0.000276373	0.000343655	1694.7800000000004	203.088	434.9305
13	0.000343655	0.00042583	1927.972	365.886	598.1762
14	0.00042583	0.000526194	2165.996	588.807	816.8762999999999
15	0.000526194	0.000648774	2395.6279999999997	860.935	1113.567
16	0.000648774	0.000798486	2566.8179999999998	1161.84	1427.6680000000001
17	0.000798486	0.000981337	2691.2130000000006	1459.18	1789.2320000000004
18	0.000981337	0.00120466	2727.794000000001	1703.03	2102.9249999999997
19	0.00120466	0.00147742	2694.7400000000007	1843.57	2303.143
20	0.00147742	0.00181055	2620.5280000000002	1870.31	2322.475
21	0.00181055	0.00221742	2517.9600000000005	1809.28	2202.423
22	0.00221742	0.00271436	2456.4440000000004	1695.01	1995.8939999999998
23	0.00271436	0.00332128	2451.836	1560.38	1670.002
24	0.00332128	0.00406255	2460.72	1433.4	1438.0700000000002
25	0.00406255	0.0049679	2682.3	1336.28	1327.1239999999998
26	0.0049679	0.00607365	2682.3	1283.4	1322.6920000000005
27	0.00607365	0.00742415	2682.3	1279.35	1343.09
28	0.00742415	0.00907359	2682.3	1279.35	1296.74
29	0.00907359	0.0110881	2682.3	1414.15	1250.39
30	0.0110881	0.0135486	2682.3	1414.15	1250.39
31	0.0135486	inf	2682.3	1414.15	1250.39
