time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.87664e-05	1081.11
1	1.87664e-05	4.07184e-05	1081.11
2	4.07184e-05	6.63967e-05	1689.55
3	6.63967e-05	9.64339e-05	1094.56
4	9.64339e-05	0.00013157	776.836
5	0.00013157	0.00017267	620.736
6	0.00017267	0.000220748	540.212
7	0.000220748	0.000276986	484.558
8	0.000276986	0.00034277	449.469
9	0.00034277	0.000419722	443.429
10	0.000419722	0.000509736	471.529
11	0.000509736	0.00061503	533.421
12	0.00061503	0.000738198	628.553
13	0.000738198	0.000882274	756.616
14	0.000882274	0.00105081	915.064
15	0.00105081	0.00124795	1092.58
16	0.00124795	0.00147855	1262.27
17	0.00147855	0.0017483	1384.07
18	0.0017483	0.00206384	1419.49
19	0.00206384	0.00243295	1353.02
20	0.00243295	0.00286471	1202.15
21	0.00286471	0.00336976	1008.78
22	0.00336976	0.00396054	818.888
23	0.00396054	0.0046516	662.544
24	0.0046516	0.00545998	548.67
25	0.00545998	0.00640558	477.301
26	0.00640558	0.00751169	448.092
27	0.00751169	0.00880557	473.65
28	0.00880557	0.0103191	473.65
29	0.0103191	0.0120895	778.625
30	0.0120895	0.0141605	778.625
31	0.0141605	inf	778.625
