time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	6.18806e-06	2121.32	0.89715	1360.5400000000002
1	6.18806e-06	1.37458e-05	2121.32	0.89715	1360.5400000000002
2	1.37458e-05	2.29765e-05	2286.7580000000003	0.894276	1360.5400000000002
3	2.29765e-05	3.42504e-05	3015.562	0.894262	1264.3269999999998
4	3.42504e-05	4.80198e-05	3491.6089999999995	0.894258	1039.8299999999997
5	4.80198e-05	6.4837e-05	3286.478	8.28672	875.1595999999997
6	6.4837e-05	8.53767e-05	2789.512	19.6258	790.4686
7	8.53767e-05	0.000110463	2271.8280000000004	18.7319	721.1174000000002
8	0.000110463	0.000141102	1865.3500000000001	20.0098	631.0166
9	0.000141102	0.000178523	1685.4920000000004	29.649	545.2067000000001
10	0.000178523	0.000224226	1622.96	55.0514	504.71229999999997
11	0.000224226	0.000280047	1661.0109999999995	111.164	513.9169999999999
12	0.000280047	0.000348223	1765.036	214.264	577.5176
13	0.000348223	0.00043149	1975.994	372.672	694.1205
14	0.00043149	0.000533188	2208.122	584.072	862.4547999999999
15	0.000533188	0.000657397	2453.4440000000004	839.766	1079.0012
16	0.000657397	0.000809099	2666.544000000001	1126.64	1359.0349999999999
17	0.000809099	0.00099438	2805.6479999999997	1419.73	1683.728
18	0.00099438	0.00122067	2810.4320000000002	1671.9	1946.4279999999999
19	0.00122067	0.00149706	2734.5260000000003	1828.81	2120.5119999999997
20	0.00149706	0.00183462	2604.793999999999	1870.48	2183.084
21	0.00183462	0.0022469	2401.268	1815.7	2137.8469999999998
22	0.0022469	0.00275043	2187.45	1699.89	1990.8419999999996
23	0.00275043	0.00336543	2016.7040000000004	1564.19	1818.9239999999995
24	0.00336543	0.00411655	1993.1600000000003	1444.29	1664.5409999999997
25	0.00411655	0.00503393	2129.24	1356.6	1528.248
26	0.00503393	0.00615438	2129.24	1296.95	1468.784
27	0.00615438	0.00752283	2129.24	1244.58	1473.8300000000002
28	0.00752283	0.00919419	2129.24	1244.58	297.53668000000005
29	0.00919419	0.0112355	2129.24	1226.05	3.4633499999999993
30	0.0112355	0.0137287	2129.24	1226.05	3.4633499999999993
31	0.0137287	inf	2129.24	1226.05	3.46335
