time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.881e-05	718.895
1	1.881e-05	4.0813e-05	718.895
2	4.0813e-05	6.6551e-05	954.784
3	6.6551e-05	9.6658e-05	825.868
4	9.6658e-05	0.000131876	673.662
5	0.000131876	0.000173072	560.268
6	0.000173072	0.00022126	510.308
7	0.00022126	0.000277629	472.888
8	0.000277629	0.000343567	448.741
9	0.000343567	0.000420697	455.137
10	0.000420697	0.000510921	499.431
11	0.000510921	0.000616459	581.268
12	0.000616459	0.000739913	699.477
13	0.000739913	0.000884324	851.727
14	0.000884324	0.00105325	1028.56
15	0.00105325	0.00125085	1208.83
16	0.00125085	0.00148199	1359.32
17	0.00148199	0.00175236	1441.31
18	0.00175236	0.00206864	1427.58
19	0.00206864	0.0024386	1319.25
20	0.0024386	0.00287136	1145.69
21	0.00287136	0.00337758	949.391
22	0.00337758	0.00396974	767.975
23	0.00396974	0.00466241	623.77
24	0.00466241	0.00547267	526.178
25	0.00547267	0.00642046	478.421
26	0.00642046	0.00752914	474.095
27	0.00752914	0.00882603	513.38
28	0.00882603	0.0103431	513.38
29	0.0103431	0.0121176	658.168
30	0.0121176	0.0141934	658.168
31	0.0141934	inf	658.168
