time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	6.17522e-06	2121.32	0.896189	286.305
1	6.17522e-06	1.37173e-05	2121.32	0.896189	286.305
2	1.37173e-05	2.29289e-05	2286.7580000000003	0.896118	286.305
3	2.29289e-05	3.41794e-05	3015.562	0.896119	286.305
4	3.41794e-05	4.79202e-05	3491.6089999999995	0.896123	676.2670000000002
5	4.79202e-05	6.47025e-05	3322.5170000000003	1.07957	549.583
6	6.47025e-05	8.51995e-05	2789.512	4.90775	423.4192
7	8.51995e-05	0.000110234	2271.8280000000004	5.61654	321.3675999999999
8	0.000110234	0.000140809	1865.3500000000001	8.416	278.767
9	0.000140809	0.000178152	1685.4920000000004	16.6704	286.6186
10	0.000178152	0.000223761	1622.96	39.7251	310.69120000000004
11	0.000223761	0.000279466	1661.0109999999995	95.4195	361.3065
12	0.000279466	0.0003475	1765.036	203.419	450.55190000000005
13	0.0003475	0.000430595	1975.994	373.444	616.3435
14	0.000430595	0.000532081	2208.122	601.051	823.8352000000001
15	0.000532081	0.000656032	2453.4440000000004	871.824	1100.4176000000002
16	0.000656032	0.00080742	2666.544000000001	1165.13	1388.1000000000004
17	0.00080742	0.000992317	2805.6479999999997	1449.7	1716.2449999999997
18	0.000992317	0.00121814	2810.4320000000002	1678.41	1987.3899999999994
19	0.00121814	0.00149395	2734.5260000000003	1806.03	2205.842
20	0.00149395	0.00183081	2604.793999999999	1822.44	2245.502
21	0.00183081	0.00224223	2401.268	1751.68	2175.1460000000006
22	0.00224223	0.00274472	2203.556	1629.44	2032.942
23	0.00274472	0.00335844	2029.5920000000006	1491.36	1846.232
24	0.00335844	0.00410801	1993.1600000000003	1369.38	1676.0320000000002
25	0.00410801	0.00502348	2129.24	1286.0	1562.0679999999998
26	0.00502348	0.0061416	2129.24	1245.42	1493.9639999999997
27	0.0061416	0.00750722	2129.24	1239.77	1478.3300000000002
28	0.00750722	0.00917511	2129.24	1239.77	1560.2099999999996
29	0.00917511	0.0112122	2129.24	1348.97	1683.0299999999997
30	0.0112122	0.0137002	2129.24	1348.97	1683.0299999999997
31	0.0137002	inf	2129.24	1348.97	1683.03
