time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	6.06517e-06	3144.4999999999995	0.915633	475.93799999999993
1	6.06517e-06	1.34729e-05	3144.4999999999995	0.915633	475.93799999999993
2	1.34729e-05	2.25202e-05	2634.06	8.91187	475.93799999999993
3	2.25202e-05	3.35702e-05	3424.954	46.0363	468.1834999999999
4	3.35702e-05	4.70662e-05	3913.731999999999	12.8604	398.39299999999986
5	4.70662e-05	6.35494e-05	3738.8499999999985	3.25036	452.22679999999997
6	6.35494e-05	8.36811e-05	3188.6370000000006	4.19324	436.73050000000006
7	8.36811e-05	0.000108269	2573.0190000000002	5.28336	309.0596
8	0.000108269	0.000138299	2119.2900000000004	7.77386	239.117
9	0.000138299	0.000174977	1816.4940000000001	16.5117	234.53100000000003
10	0.000174977	0.000219773	1696.7360000000003	40.8542	263.3103
11	0.000219773	0.000274485	1704.6310000000003	95.9782	319.9149
12	0.000274485	0.000341307	1833.527	200.706	434.9305
13	0.000341307	0.000422921	2027.95	367.297	598.1762
14	0.000422921	0.000522599	2255.511	594.51	816.8762999999999
15	0.000522599	0.000644341	2458.976	870.393	1086.5703999999998
16	0.000644341	0.00079303	2680.006	1174.9	1427.6680000000001
17	0.00079303	0.000974632	2796.5950000000003	1474.53	1758.9630000000002
18	0.000974632	0.00119643	2860.264	1716.39	2085.624
19	0.00119643	0.00146733	2871.747	1852.24	2297.042
20	0.00146733	0.00179818	2834.096	1876.91	2327.15
21	0.00179818	0.00220227	2770.8899999999994	1816.76	2216.234
22	0.00220227	0.00269581	2715.258	1701.27	1995.8939999999998
23	0.00269581	0.00329859	2788.196999999999	1560.24	1670.002
24	0.00329859	0.00403479	3158.060999999999	1426.88	1438.0700000000002
25	0.00403479	0.00493396	3999.2299999999996	1329.41	1327.1239999999998
26	0.00493396	0.00603215	3999.2299999999996	1282.98	1322.6920000000005
27	0.00603215	0.00737343	3999.2299999999996	1296.78	1343.09
28	0.00737343	0.00901159	3999.2299999999996	1296.78	1306.01
29	0.00901159	0.0110124	3999.2299999999996	1485.55	1250.39
30	0.0110124	0.013456	3999.2299999999996	1485.55	1250.39
31	0.013456	inf	3999.23	1485.55	1250.39
