time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	6.08762e-06	2759.91	0.912647	937.6549999999999
1	6.08762e-06	1.35227e-05	2759.91	0.912647	937.6549999999999
2	1.35227e-05	2.26036e-05	2277.4699999999993	0.909103	937.6549999999999
3	2.26036e-05	3.36945e-05	2981.151	1.45583	1063.8305
4	3.36945e-05	4.72404e-05	3744.6639999999993	22.5974	1358.2400000000005
5	4.72404e-05	6.37846e-05	3569.7379999999994	15.6869	1203.232
6	6.37846e-05	8.39909e-05	2856.2319999999995	12.3633	1004.9466000000001
7	8.39909e-05	0.00010867	2198.0939999999996	14.6261	799.9290000000001
8	0.00010867	0.000138811	1759.03	19.9144	615.6345000000001
9	0.000138811	0.000175625	1557.808	32.037	518.7375
10	0.000175625	0.000220587	1508.7850000000003	63.5519	491.96209999999996
11	0.000220587	0.000275501	1567.222	127.448	513.6946
12	0.000275501	0.000342571	1715.8659999999998	235.659	574.815
13	0.000342571	0.000424486	1962.374	395.856	692.1394999999999
14	0.000424486	0.000524534	2202.166	606.097	883.2177
15	0.000524534	0.000646726	2424.2	856.238	1116.6745999999998
16	0.000646726	0.000795966	2644.3519999999994	1132.43	1425.4129999999998
17	0.000795966	0.00097824	2806.857	1414.65	1781.3890000000001
18	0.00097824	0.00120086	2844.088	1665.41	2044.6860000000004
19	0.00120086	0.00147276	2763.1899999999996	1831.7	2234.586
20	0.00147276	0.00180484	2607.6420000000007	1880.64	2298.2819999999997
21	0.00180484	0.00221043	2391.376	1822.59	2214.77
22	0.00221043	0.00270579	2235.7080000000005	1692.78	2046.8660000000004
23	0.00270579	0.0033108	2132.358	1530.54	1838.7619999999997
24	0.0033108	0.00404973	2105.11	1373.48	1622.9779999999998
25	0.00404973	0.00495222	2125.86	1254.15	1397.1700000000003
26	0.00495222	0.00605448	2125.86	1179.8	1257.598
27	0.00605448	0.00740072	2125.86	1105.29	1207.18
28	0.00740072	0.00904495	2125.86	1105.29	1289.2999999999997
29	0.00904495	0.0110531	2125.86	953.395	1309.8299999999997
30	0.0110531	0.0135058	2125.86	953.395	1309.8299999999997
31	0.0135058	inf	2125.86	953.395	1309.83
