time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	6.11118e-06	3144.4999999999995	0.905578	554.8970000000002
1	6.11118e-06	1.35751e-05	3144.4999999999995	0.905578	554.8970000000002
2	1.35751e-05	2.26911e-05	2634.06	0.905514	554.8970000000002
3	2.26911e-05	3.38249e-05	3424.954	21.4304	519.1214000000001
4	3.38249e-05	4.74232e-05	3946.125999999999	42.2257	376.019
5	4.74232e-05	6.40314e-05	3738.8499999999985	8.25921	640.5230999999999
6	6.40314e-05	8.43159e-05	3135.6840000000007	5.80623	678.1335
7	8.43159e-05	0.00010909	2573.0190000000002	7.0336	565.8788999999999
8	0.00010909	0.000139349	2119.2900000000004	8.93218	473.81019999999995
9	0.000139349	0.000176304	1816.4940000000001	14.9519	446.1228
10	0.000176304	0.00022144	1689.9940000000004	33.7174	447.3187
11	0.00022144	0.000276567	1704.6310000000003	83.6443	481.33160000000004
12	0.000276567	0.000343896	1833.527	186.991	561.7608
13	0.000343896	0.000426129	2027.95	356.605	695.6071999999999
14	0.000426129	0.000526563	2255.511	588.609	883.2865
15	0.000526563	0.000649228	2492.199	866.122	1121.5907999999997
16	0.000649228	0.000799046	2680.006	1167.66	1427.3739999999998
17	0.000799046	0.000982025	2796.5950000000003	1465.02	1752.1810000000003
18	0.000982025	0.00120551	2860.264	1712.4	2062.514
19	0.00120551	0.00147846	2871.747	1859.77	2233.7119999999995
20	0.00147846	0.00181182	2834.096	1890.53	2284.562
21	0.00181182	0.00221898	2770.8899999999994	1821.66	2192.3540000000003
22	0.00221898	0.00271626	2715.258	1685.46	1959.296
23	0.00271626	0.00332361	2788.196999999999	1521.71	1739.096
24	0.00332361	0.0040654	3278.227999999999	1366.27	1566.9739999999997
25	0.0040654	0.00497138	3999.2299999999996	1237.42	1467.4180000000003
26	0.00497138	0.00607791	3999.2299999999996	1139.49	1420.7759999999998
27	0.00607791	0.00742936	3999.2299999999996	1069.59	1415.2399999999998
28	0.00742936	0.00907995	3999.2299999999996	1069.59	1578.9200000000003
29	0.00907995	0.0110959	3999.2299999999996	1079.7	1688.0400000000002
30	0.0110959	0.0135581	3999.2299999999996	1079.7	1688.0400000000002
31	0.0135581	inf	3999.23	1079.7	1688.04
