time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.01197e-05	2310.87
1	1.01197e-05	2.19572e-05	2310.87
2	2.19572e-05	3.58041e-05	5243.68
3	3.58041e-05	5.20015e-05	4473.81
4	5.20015e-05	7.09484e-05	3379.42
5	7.09484e-05	9.31116e-05	2439.6
6	9.31116e-05	0.000119037	1786.25
7	0.000119037	0.000149363	1381.28
8	0.000149363	0.000184837	1157.13
9	0.000184837	0.000226333	1044.8
10	0.000226333	0.000274873	1002.94
11	0.000274873	0.000331652	1010.24
12	0.000331652	0.000398069	1052.72
13	0.000398069	0.000475761	1118.74
14	0.000475761	0.000566641	1199.15
15	0.000566641	0.000672948	1286.38
16	0.000672948	0.000797301	1370.49
17	0.000797301	0.000942763	1437.04
18	0.000942763	0.00111292	1470.22
19	0.00111292	0.00131195	1459.45
20	0.00131195	0.00154478	1406.31
21	0.00154478	0.00181712	1322.36
22	0.00181712	0.0021357	1219.26
23	0.0021357	0.00250835	1106.02
24	0.00250835	0.00294427	993.64
25	0.00294427	0.00345417	899.867
26	0.00345417	0.00405064	852.276
27	0.00405064	0.00474835	1016.02
28	0.00474835	0.00556451	1016.02
29	0.00556451	0.0065192	9.08002
30	0.0065192	0.00763596	9.08002
31	0.00763596	inf	9.08002
