time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	6.18171e-06	2759.91	0.895726	326.32999999999987
1	6.18171e-06	1.37317e-05	2759.91	0.895726	326.32999999999987
2	1.37317e-05	2.29529e-05	2277.4699999999993	0.895212	326.32999999999987
3	2.29529e-05	3.42153e-05	2981.151	0.895181	423.9357999999999
4	3.42153e-05	4.79705e-05	3744.6639999999993	0.895178	814.3589999999999
5	4.79705e-05	6.47704e-05	3521.8919999999994	0.895189	704.2084000000001
6	6.47704e-05	8.5289e-05	2856.2319999999995	6.65093	637.359
7	8.5289e-05	0.000110349	2161.8889999999997	6.62451	590.3849
8	0.000110349	0.000140957	1739.31	5.68548	512.0756
9	0.000140957	0.000178339	1549.894	11.0861	452.0535
10	0.000178339	0.000223996	1508.7850000000003	31.7331	437.6281
11	0.000223996	0.000279759	1575.8990000000001	84.4782	473.2398
12	0.000279759	0.000347865	1730.1079999999997	189.153	555.7471999999999
13	0.000347865	0.000431047	1962.374	356.894	688.2362
14	0.000431047	0.00053264	2202.166	584.944	874.6015
15	0.00053264	0.000656722	2444.086	859.599	1115.1732000000002
16	0.000656722	0.000808268	2661.5979999999995	1160.57	1429.0939999999998
17	0.000808268	0.000993359	2823.032	1457.34	1762.089
18	0.000993359	0.00121942	2844.088	1699.61	2066.6530000000002
19	0.00121942	0.00149552	2763.1899999999996	1835.29	2221.254
20	0.00149552	0.00183273	2607.6420000000007	1854.82	2264.0219999999995
21	0.00183273	0.00224459	2377.1240000000003	1788.89	2194.2460000000005
22	0.00224459	0.00274761	2225.2950000000005	1673.38	2017.2080000000003
23	0.00274761	0.00336197	2125.546	1537.35	1843.0519999999997
24	0.00336197	0.00411232	2107.185	1410.91	1694.6839999999995
25	0.00411232	0.00502876	2125.86	1320.33	1586.6000000000004
26	0.00502876	0.00614805	2125.86	1274.2	1513.7020000000002
27	0.00614805	0.0075151	2125.86	1268.6	1494.6700000000003
28	0.0075151	0.00918475	2125.86	1268.6	1545.7719999999997
29	0.00918475	0.011224	2125.86	1375.93	1579.8399999999995
30	0.011224	0.0137146	2125.86	1375.93	1579.8399999999995
31	0.0137146	inf	2125.86	1375.93	1579.84
