time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	6.17708e-06	2950.2399999999993	0.896599	476.1540000000001
1	6.17708e-06	1.37215e-05	2950.2399999999993	0.896599	476.1540000000001
2	1.37215e-05	2.29358e-05	2880.1519999999996	0.895875	476.1540000000001
3	2.29358e-05	3.41897e-05	3522.5340000000006	0.89585	500.22180000000003
4	3.41897e-05	4.79346e-05	3813.9599999999996	0.895848	596.493
5	4.79346e-05	6.4722e-05	3510.876999999999	0.895848	483.4247999999999
6	6.4722e-05	8.52252e-05	2877.565000000001	0.895848	442.56140000000005
7	8.52252e-05	0.000110267	2327.2960000000003	1.66149	447.7013
8	0.000110267	0.000140851	1990.3659999999998	3.94936	432.54179999999997
9	0.000140851	0.000178206	1793.5659999999993	11.334	429.3726999999999
10	0.000178206	0.000223829	1737.4120000000003	33.81	451.89
11	0.000223829	0.00027955	1786.3680000000002	88.9136	509.10939999999994
12	0.00027955	0.000347605	1923.2570000000005	195.626	590.3849999999999
13	0.000347605	0.000430724	2101.3250000000003	363.799	718.8654999999999
14	0.000430724	0.000532242	2305.307	589.812	913.968
15	0.000532242	0.00065623	2492.4759999999997	860.165	1145.33
16	0.00065623	0.000807663	2692.4930000000004	1155.85	1418.7029999999997
17	0.000807663	0.000992616	2770.8800000000006	1447.69	1737.213
18	0.000992616	0.00121851	2769.7610000000004	1687.54	2038.694
19	0.00121851	0.0014944	2700.497999999999	1825.98	2210.034
20	0.0014944	0.00183136	2595.027	1850.7	2250.696
21	0.00183136	0.00224291	2468.7250000000004	1785.21	2170.52
22	0.00224291	0.00274555	2308.7319999999995	1661.37	1968.3820000000003
23	0.00274555	0.00335946	2166.9280000000003	1508.46	1753.1460000000004
24	0.00335946	0.00410925	2195.4260000000004	1355.22	1512.8520000000005
25	0.00410925	0.005025	2254.6700000000005	1234.47	1264.54
26	0.005025	0.00614346	2254.6700000000005	1171.69	1147.02
27	0.00614346	0.00750948	2254.6700000000005	1161.21	1195.06
28	0.00750948	0.00917788	2254.6700000000005	1161.21	1336.09
29	0.00917788	0.0112156	2254.6700000000005	1192.15	1430.11
30	0.0112156	0.0137043	2254.6700000000005	1192.15	1430.11
31	0.0137043	inf	2254.67	1192.15	1430.11
