time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.81902e-05	635.73
1	1.81902e-05	3.94681e-05	635.73
2	3.94681e-05	6.4358e-05	499.644
3	6.4358e-05	9.34729e-05	487.6
4	9.34729e-05	0.00012753	535.373
5	0.00012753	0.000167368	480.554
6	0.000167368	0.000213969	437.818
7	0.000213969	0.000268481	424.582
8	0.000268481	0.000332246	427.863
9	0.000332246	0.000406835	455.802
10	0.000406835	0.000494085	521.16
11	0.000494085	0.000596146	627.613
12	0.000596146	0.000715532	773.157
13	0.000715532	0.000855183	952.994
14	0.000855183	0.00101854	1157.69
15	0.00101854	0.00120963	1364.94
16	0.00120963	0.00143315	1536.04
17	0.00143315	0.00169462	1633.05
18	0.00169462	0.00200047	1632.27
19	0.00200047	0.00235824	1526.46
20	0.00235824	0.00277674	1338.12
21	0.00277674	0.00326629	1115.71
22	0.00326629	0.00383893	904.764
23	0.00383893	0.00450878	728.773
24	0.00450878	0.00529233	594.999
25	0.00529233	0.00620889	509.288
26	0.00620889	0.00728104	471.715
27	0.00728104	0.00853519	471.47
28	0.00853519	0.0100022	471.47
29	0.0100022	0.0117183	375.469
30	0.0117183	0.0137257	375.469
31	0.0137257	inf	375.469
