time_index	left_time_boundary	right_time_boundary	lambda
0	0	9.65341e-06	3307.83
1	9.65341e-06	2.09455e-05	3307.83
2	2.09455e-05	3.41544e-05	6266.08
3	3.41544e-05	4.96055e-05	4949.77
4	4.96055e-05	6.76794e-05	3620.92
5	6.76794e-05	8.88214e-05	2564.93
6	8.88214e-05	0.000113552	1864.6
7	0.000113552	0.000142481	1436.35
8	0.000142481	0.000176321	1190.93
9	0.000176321	0.000215905	1062.63
10	0.000215905	0.000262208	1010.17
11	0.000262208	0.000316371	1007.95
12	0.000316371	0.000379728	1041.92
13	0.000379728	0.000453841	1103.95
14	0.000453841	0.000540533	1185
15	0.000540533	0.000641942	1271.83
16	0.000641942	0.000760565	1350.46
17	0.000760565	0.000899325	1411.67
18	0.000899325	0.00106164	1449.26
19	0.00106164	0.0012515	1455.13
20	0.0012515	0.0014736	1424.35
21	0.0014736	0.0017334	1360.42
22	0.0017334	0.0020373	1271.39
23	0.0020373	0.00239278	1164.22
24	0.00239278	0.00280861	1046.4
25	0.00280861	0.00329502	936.717
26	0.00329502	0.00386401	873.848
27	0.00386401	0.00452957	1229.03
28	0.00452957	0.00530812	1229.03
29	0.00530812	0.00621883	12.7472
30	0.00621883	0.00728413	12.7472
31	0.00728413	inf	12.7472
