time_index	left_time_boundary	right_time_boundary	lambda
0	0	9.82571e-06	2155.28
1	9.82571e-06	2.13193e-05	2155.28
2	2.13193e-05	3.4764e-05	4770.31
3	3.4764e-05	5.04909e-05	4525.81
4	5.04909e-05	6.88874e-05	3729.15
5	6.88874e-05	9.04068e-05	2739.04
6	9.04068e-05	0.000115579	1929.37
7	0.000115579	0.000145024	1429.69
8	0.000145024	0.000179468	1166.54
9	0.000179468	0.000219758	1052.19
10	0.000219758	0.000266888	1028.65
11	0.000266888	0.000322018	1058.92
12	0.000322018	0.000386506	1119.31
13	0.000386506	0.000461941	1193.56
14	0.000461941	0.000550181	1270.37
15	0.000550181	0.0006534	1344.2
16	0.0006534	0.000774141	1412.43
17	0.000774141	0.000915377	1467.94
18	0.000915377	0.00108059	1497.82
19	0.00108059	0.00127384	1491.97
20	0.00127384	0.0014999	1450
21	0.0014999	0.00176434	1379.72
22	0.00176434	0.00207366	1290.12
23	0.00207366	0.00243549	1186.8
24	0.00243549	0.00285874	1078.44
25	0.00285874	0.00335384	982.905
26	0.00335384	0.00393297	929.032
27	0.00393297	0.00461042	1284.24
28	0.00461042	0.00540287	1284.24
29	0.00540287	0.00632983	1.72761
30	0.00632983	0.00741414	1.72761
31	0.00741414	inf	1.72761
