time_index	left_time_boundary	right_time_boundary	lambda
0	0	9.98372e-06	3022.62
1	9.98372e-06	2.16622e-05	3022.62
2	2.16622e-05	3.53231e-05	5434.67
3	3.53231e-05	5.13029e-05	4622.28
4	5.13029e-05	6.99952e-05	3382.78
5	6.99952e-05	9.18607e-05	2395.75
6	9.18607e-05	0.000117438	1762.95
7	0.000117438	0.000147356	1387.18
8	0.000147356	0.000182354	1171.16
9	0.000182354	0.000223292	1055.71
10	0.000223292	0.00027118	1008.56
11	0.00027118	0.000327196	1010.72
12	0.000327196	0.000392722	1050.57
13	0.000392722	0.00046937	1120.97
14	0.00046937	0.000559029	1213.63
15	0.000559029	0.000663908	1313.86
16	0.000663908	0.00078659	1400.2
17	0.00078659	0.000930097	1452.85
18	0.000930097	0.00109796	1464.96
19	0.00109796	0.00129433	1443.55
20	0.00129433	0.00152402	1398.44
21	0.00152402	0.00179271	1334.65
22	0.00179271	0.00210701	1254.74
23	0.00210701	0.00247465	1162.56
24	0.00247465	0.00290471	1066.14
25	0.00290471	0.00340777	979.71
26	0.00340777	0.00399622	922.94
27	0.00399622	0.00468456	1015.13
28	0.00468456	0.00548975	1015.13
29	0.00548975	0.00643162	1.70027
30	0.00643162	0.00753337	1.70027
31	0.00753337	inf	1.70027
