time_index	left_time_boundary	right_time_boundary	lambda
0	0	9.77249e-06	3213.06
1	9.77249e-06	2.12039e-05	3213.06
2	2.12039e-05	3.45757e-05	6865.39
3	3.45757e-05	5.02174e-05	4759.62
4	5.02174e-05	6.85143e-05	3459.55
5	6.85143e-05	8.99171e-05	2544.57
6	8.99171e-05	0.000114953	1904.49
7	0.000114953	0.000144239	1462.58
8	0.000144239	0.000178496	1188.38
9	0.000178496	0.000218568	1042.04
10	0.000218568	0.000265442	976.567
11	0.000265442	0.000320274	974.523
12	0.000320274	0.000384413	1017.21
13	0.000384413	0.000459439	1091.55
14	0.000459439	0.000547201	1186.52
15	0.000547201	0.000649861	1289.22
16	0.000649861	0.000769948	1383.17
17	0.000769948	0.000910419	1452.2
18	0.000910419	0.00107473	1487.81
19	0.00107473	0.00126694	1488.79
20	0.00126694	0.00149178	1453.51
21	0.00149178	0.00175478	1377.86
22	0.00175478	0.00206243	1260.94
23	0.00206243	0.0024223	1112.73
24	0.0024223	0.00284326	951.775
25	0.00284326	0.00333567	796.303
26	0.00333567	0.00391167	663.835
27	0.00391167	0.00458545	576.567
28	0.00458545	0.0053736	576.567
29	0.0053736	0.00629554	801.01
30	0.00629554	0.00737399	801.01
31	0.00737399	inf	801.01
