time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	6.10423e-06	3231.03	0.906913	387.3770000000001
1	6.10423e-06	1.35596e-05	3231.03	0.906913	387.3770000000001
2	1.35596e-05	2.26653e-05	3543.8140000000003	0.906571	387.3770000000001
3	2.26653e-05	3.37864e-05	4272.402	0.90654	406.7786000000001
4	3.37864e-05	4.73693e-05	4182.664000000001	0.90654	581.393
5	4.73693e-05	6.39587e-05	3606.256	0.906544	492.0566000000002
6	6.39587e-05	8.42201e-05	2821.867	5.52704	402.7906000000001
7	8.42201e-05	0.000108966	2248.15	4.25783	332.51020000000005
8	0.000108966	0.00013919	1873.102	4.98244	323.863
9	0.00013919	0.000176104	1703.0399999999997	11.9337	314.18299999999994
10	0.000176104	0.000221189	1654.217	35.0035	323.965
11	0.000221189	0.000276253	1706.8309999999997	91.2741	370.6040000000001
12	0.000276253	0.000343506	1848.432	197.781	475.46419999999995
13	0.000343506	0.000425644	2025.8559999999995	365.057	638.6872
14	0.000425644	0.000525965	2225.7099999999996	592.202	858.7698
15	0.000525965	0.000648491	2427.81	867.178	1155.35
16	0.000648491	0.000798138	2630.972	1169.2	1461.908
17	0.000798138	0.000980909	2747.1279999999997	1465.26	1801.2080000000003
18	0.000980909	0.00120414	2796.3100000000004	1706.57	2085.1360000000004
19	0.00120414	0.00147678	2780.0699999999997	1848.44	2270.495
20	0.00147678	0.00180976	2691.1470000000004	1879.85	2310.295
21	0.00180976	0.00221646	2581.925	1817.64	2251.2690000000002
22	0.00221646	0.00271317	2421.75	1688.52	2141.4560000000006
23	0.00271317	0.00331983	2111.9699999999993	1526.85	1983.4739999999995
24	0.00331983	0.00406078	1776.4779999999998	1372.07	1890.8899999999999
25	0.00406078	0.00496574	1062.1000000000001	1258.37	1883.712
26	0.00496574	0.006071	1062.1000000000001	1202.12	1917.1580000000004
27	0.006071	0.00742092	1062.1000000000001	1219.08	1950.1500000000005
28	0.00742092	0.00906963	1062.1000000000001	1219.08	2068.3199999999997
29	0.00906963	0.0110833	1062.1000000000001	1450.06	2186.4899999999993
30	0.0110833	0.0135427	1062.1000000000001	1450.06	2186.4899999999993
31	0.0135427	inf	1062.1	1450.06	2186.49
