time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	6.05479e-06	2010.59	0.920085	937.6549999999999
1	6.05479e-06	1.34498e-05	2010.59	0.920085	937.6549999999999
2	1.34498e-05	2.24817e-05	2407.8779999999997	0.913944	937.6549999999999
3	2.24817e-05	3.35128e-05	3477.464000000001	17.365	1063.8305
4	3.35128e-05	4.69856e-05	3886.382	48.947	1358.2400000000005
5	4.69856e-05	6.34406e-05	3696.0260000000003	11.2941	1203.232
6	6.34406e-05	8.35379e-05	3192.000000000001	2.3376	1004.9466000000001
7	8.35379e-05	0.000108084	2526.8260000000005	3.59244	799.9290000000001
8	0.000108084	0.000138063	2092.493	9.12495	615.6345000000001
9	0.000138063	0.000174678	1808.8199999999997	22.6614	518.7375
10	0.000174678	0.000219397	1696.358	52.7931	491.96209999999996
11	0.000219397	0.000274015	1698.3939999999998	114.279	509.23920000000004
12	0.000274015	0.000340723	1808.539	223.619	574.815
13	0.000340723	0.000422197	2015.2039999999997	389.441	692.1394999999999
14	0.000422197	0.000521704	2257.0750000000003	607.689	865.3126000000001
15	0.000521704	0.000643238	2509.0050000000006	865.984	1116.6745999999998
16	0.000643238	0.000791673	2742.4300000000003	1148.85	1425.4129999999998
17	0.000791673	0.000972964	2884.1569999999992	1434.3	1755.286
18	0.000972964	0.00119438	2913.565	1683.55	2044.6860000000004
19	0.00119438	0.00146481	2857.055	1848.4	2234.586
20	0.00146481	0.0017951	2686.4320000000007	1904.0	2298.2819999999997
21	0.0017951	0.0021985	2414.652	1857.61	2221.022
22	0.0021985	0.00269119	2045.82	1735.89	2046.8660000000004
23	0.00269119	0.00329294	1727.2359999999999	1577.85	1838.7619999999997
24	0.00329294	0.00402789	2301.054	1422.71	1622.9779999999998
25	0.00402789	0.00492551	4778.31	1301.97	1413.5190000000002
26	0.00492551	0.00602182	4778.31	1232.47	1257.598
27	0.00602182	0.0073608	4778.31	1211.21	1207.18
28	0.0073608	0.00899617	4778.31	1211.21	1289.2999999999997
29	0.00899617	0.0109935	4778.31	1295.05	1309.8299999999997
30	0.0109935	0.013433	4778.31	1295.05	1309.8299999999997
31	0.013433	inf	4778.31	1295.05	1309.83
