****                   ADMIXTURE Version 1.3.0                  ****
****                    Copyright 2008-2015                     ****
****           David Alexander, Suyash Shringarpure,            ****
****                John  Novembre, Ken Lange                   ****
****                                                            ****
****                 Please cite our paper!                     ****
****   Information at www.genetics.ucla.edu/software/admixture  ****

Parallel execution requested.  Will use 15 threads.
Cross-validation will be performed.  Folds=10.
Random seed: 43
Point estimation method: Block relaxation algorithm
Convergence acceleration algorithm: QuasiNewton, 3 secant conditions
Point estimation will terminate when objective function delta < 0.0001
Estimation of standard errors disabled; will compute point estimates only.
Size of G: 28x416407
Performing five EM steps to prime main algorithm
55 (QN/Block) 	Elapsed: 4.063	Loglikelihood: -4.92951e+06	(delta): 5.71829
56 (QN/Block) 	Elapsed: 3.794	Loglikelihood: -4.92951e+06	(delta): 3.04988
57 (QN/Block) 	Elapsed: 3.945	Loglikelihood: -4.92951e+06	(delta): 2.0015
58 (QN/Block) 	Elapsed: 3.894	Loglikelihood: -4.9295e+06	(delta): 0.74966
59 (QN/Block) 	Elapsed: 3.772	Loglikelihood: -4.92951e+06	(delta): -7.1567
60 (QN/Block) 	Elapsed: 3.922	Loglikelihood: -4.92951e+06	(delta): 4.55462
61 (QN/Block) 	Elapsed: 3.983	Loglikelihood: -4.92951e+06	(delta): -0.427834
62 (QN/Block) 	Elapsed: 4.128	Loglikelihood: -4.92951e+06	(delta): -3.53151
63 (QN/Block) 	Elapsed: 4.119	Loglikelihood: -4.92951e+06	(delta): 3.93808
64 (QN/Block) 	Elapsed: 4.291	Loglikelihood: -4.92951e+06	(delta): 0.361005
65 (QN/Block) 	Elapsed: 4.124	Loglikelihood: -4.92951e+06	(delta): 0.166391
66 (QN/Block) 	Elapsed: 4.139	Loglikelihood: -4.92951e+06	(delta): 0.187946
67 (QN/Block) 	Elapsed: 4.165	Loglikelihood: -4.92951e+06	(delta): 1.18359
68 (QN/Block) 	Elapsed: 4.198	Loglikelihood: -4.92951e+06	(delta): -0.514251
69 (QN/Block) 	Elapsed: 4.294	Loglikelihood: -4.92951e+06	(delta): 0.0506478
70 (QN/Block) 	Elapsed: 4.075	Loglikelihood: -4.92951e+06	(delta): -1.06653
71 (QN/Block) 	Elapsed: 4.104	Loglikelihood: -4.92951e+06	(delta): -5.72299
72 (QN/Block) 	Elapsed: 3.98	Loglikelihood: -4.92951e+06	(delta): 4.5487
73 (QN/Block) 	Elapsed: 3.988	Loglikelihood: -4.92951e+06	(delta): -5.50947
74 (QN/Block) 	Elapsed: 3.986	Loglikelihood: -4.92951e+06	(delta): 3.18221
75 (QN/Block) 	Elapsed: 3.881	Loglikelihood: -4.92951e+06	(delta): 2.16166
76 (QN/Block) 	Elapsed: 3.98	Loglikelihood: -4.92952e+06	(delta): -7.83477
77 (QN/Block) 	Elapsed: 3.842	Loglikelihood: -4.92952e+06	(delta): 0.755908
78 (QN/Block) 	Elapsed: 3.789	Loglikelihood: -4.92951e+06	(delta): 5.36473
79 (QN/Block) 	Elapsed: 4.128	Loglikelihood: -4.92951e+06	(delta): 0.627326
80 (QN/Block) 	Elapsed: 4.052	Loglikelihood: -4.92951e+06	(delta): -2.15392
81 (QN/Block) 	Elapsed: 4.023	Loglikelihood: -4.92951e+06	(delta): 0.174595
82 (QN/Block) 	Elapsed: 4.192	Loglikelihood: -4.92951e+06	(delta): -0.00271659
83 (QN/Block) 	Elapsed: 4.103	Loglikelihood: -4.92953e+06	(delta): -16.5359
84 (QN/Block) 	Elapsed: 4.012	Loglikelihood: -4.92953e+06	(delta): 2.90661
85 (QN/Block) 	Elapsed: 4.237	Loglikelihood: -4.92952e+06	(delta): 0.171684
86 (QN/Block) 	Elapsed: 3.901	Loglikelihood: -4.92954e+06	(delta): -14.5507
87 (QN/Block) 	Elapsed: 3.934	Loglikelihood: -4.92954e+06	(delta): 3.47343
88 (QN/Block) 	Elapsed: 4.125	Loglikelihood: -4.92953e+06	(delta): 2.08556
89 (QN/Block) 	Elapsed: 3.828	Loglikelihood: -4.92953e+06	(delta): 0.872367
90 (QN/Block) 	Elapsed: 3.664	Loglikelihood: -4.92953e+06	(delta): 4.19496
91 (QN/Block) 	Elapsed: 3.839	Loglikelihood: -4.92952e+06	(delta): 4.67472
92 (QN/Block) 	Elapsed: 3.857	Loglikelihood: -4.92952e+06	(delta): 3.53932
93 (QN/Block) 	Elapsed: 3.797	Loglikelihood: -4.92952e+06	(delta): 2.52152
94 (QN/Block) 	Elapsed: 3.741	Loglikelihood: -4.92952e+06	(delta): -0.109058
95 (QN/Block) 	Elapsed: 3.975	Loglikelihood: -4.92952e+06	(delta): 2.40685
96 (QN/Block) 	Elapsed: 3.518	Loglikelihood: -4.92952e+06	(delta): 0.536313
97 (QN/Block) 	Elapsed: 3.47	Loglikelihood: -4.92951e+06	(delta): 1.29782
98 (QN/Block) 	Elapsed: 3.494	Loglikelihood: -4.92951e+06	(delta): 0.00752186
99 (QN/Block) 	Elapsed: 3.576	Loglikelihood: -4.92951e+06	(delta): -0.804127
100 (QN/Block) 	Elapsed: 3.523	Loglikelihood: -4.92951e+06	(delta): 0.373974
101 (QN/Block) 	Elapsed: 3.458	Loglikelihood: -4.92951e+06	(delta): 1.8297
102 (QN/Block) 	Elapsed: 3.563	Loglikelihood: -4.92951e+06	(delta): -0.463331
103 (QN/Block) 	Elapsed: 3.55	Loglikelihood: -4.92951e+06	(delta): 0.477482
104 (QN/Block) 	Elapsed: 3.378	Loglikelihood: -4.92951e+06	(delta): -0.539411
105 (QN/Block) 	Elapsed: 3.17	Loglikelihood: -4.92951e+06	(delta): 0.557995
106 (QN/Block) 	Elapsed: 3.091	Loglikelihood: -4.92951e+06	(delta): -0.171589
107 (QN/Block) 	Elapsed: 3.074	Loglikelihood: -4.92951e+06	(delta): 0.489034
108 (QN/Block) 	Elapsed: 3.31	Loglikelihood: -4.92951e+06	(delta): -0.160338
109 (QN/Block) 	Elapsed: 3.145	Loglikelihood: -4.92951e+06	(delta): 0.0606259
110 (QN/Block) 	Elapsed: 3.287	Loglikelihood: -4.92955e+06	(delta): -37.6092
111 (QN/Block) 	Elapsed: 3.085	Loglikelihood: -4.92955e+06	(delta): -0.109385
112 (QN/Block) 	Elapsed: 3.093	Loglikelihood: -4.92955e+06	(delta): -1.90656
113 (QN/Block) 	Elapsed: 3.337	Loglikelihood: -4.92955e+06	(delta): 1.08911
