****                   ADMIXTURE Version 1.3.0                  ****
****                    Copyright 2008-2015                     ****
****           David Alexander, Suyash Shringarpure,            ****
****                John  Novembre, Ken Lange                   ****
****                                                            ****
****                 Please cite our paper!                     ****
****   Information at www.genetics.ucla.edu/software/admixture  ****

Parallel execution requested.  Will use 15 threads.
Cross-validation will be performed.  Folds=10.
Random seed: 43
Point estimation method: Block relaxation algorithm
Convergence acceleration algorithm: QuasiNewton, 3 secant conditions
Point estimation will terminate when objective function delta < 0.0001
Estimation of standard errors disabled; will compute point estimates only.
Size of G: 28x416407
Performing five EM steps to prime main algorithm
1 (EM) 	Elapsed: 1.57	Loglikelihood: -8.6598e+06	(delta): 8.38454e+06
2 (EM) 	Elapsed: 1.65	Loglikelihood: -8.2741e+06	(delta): 385703
3 (EM) 	Elapsed: 1.58	Loglikelihood: -8.1127e+06	(delta): 161399
4 (EM) 	Elapsed: 1.684	Loglikelihood: -7.95258e+06	(delta): 160122
5 (EM) 	Elapsed: 1.586	Loglikelihood: -7.76084e+06	(delta): 191736
Initial loglikelihood: -7.76084e+06
Starting main algorithm
1 (QN/Block) 	Elapsed: 4.653	Loglikelihood: -5.68375e+06	(delta): 2.07709e+06
2 (QN/Block) 	Elapsed: 4.796	Loglikelihood: -5.22797e+06	(delta): 455784
3 (QN/Block) 	Elapsed: 5.298	Loglikelihood: -4.99865e+06	(delta): 229323
4 (QN/Block) 	Elapsed: 5.273	Loglikelihood: -4.88307e+06	(delta): 115579
5 (QN/Block) 	Elapsed: 5.476	Loglikelihood: -4.83515e+06	(delta): 47921.8
6 (QN/Block) 	Elapsed: 5.306	Loglikelihood: -4.82093e+06	(delta): 14215
7 (QN/Block) 	Elapsed: 5.005	Loglikelihood: -4.81618e+06	(delta): 4751.06
8 (QN/Block) 	Elapsed: 4.95	Loglikelihood: -4.81459e+06	(delta): 1595.03
9 (QN/Block) 	Elapsed: 5.066	Loglikelihood: -4.81412e+06	(delta): 468.003
10 (QN/Block) 	Elapsed: 5.1	Loglikelihood: -4.81411e+06	(delta): 7.17463
11 (QN/Block) 	Elapsed: 5.199	Loglikelihood: -4.8141e+06	(delta): 9.86755
12 (QN/Block) 	Elapsed: 4.934	Loglikelihood: -4.81409e+06	(delta): 13.3891
13 (QN/Block) 	Elapsed: 4.984	Loglikelihood: -4.81408e+06	(delta): 8.61868
14 (QN/Block) 	Elapsed: 5.206	Loglikelihood: -4.81407e+06	(delta): 6.62748
